Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
52802939,107,5003,-1,2023-01-06,2023,20.56,26.28,16.33,79.36,1,Winter,9.950000000000005,West1,Pune
52839773,107,5003,-1,2023-01-12,2023,18.19,26.85,12.33,49.16,1,Winter,14.52,West1,Pune
52846241,107,5003,-1,2023-01-16,2023,18.16,26.92,12.85,58.05,1,Winter,14.070000000000002,West1,Pune
52844132,107,5003,-1,2023-01-16,2023,18.16,26.92,12.85,58.05,1,Winter,14.070000000000002,West1,Pune
52846241,107,5003,1,2023-01-30,2023,20.84,28.44,15.6,75.73,1,Winter,12.840000000000002,West1,Pune
53074420,107,5030,-1,2023-02-21,2023,20.51,31.8,13.02,38.61,2,Winter,18.78,North1,Delhi
53074406,107,5030,-1,2023-02-21,2023,20.51,31.8,13.02,38.61,2,Winter,18.78,North1,Delhi
53073755,107,5005,-1,2023-02-27,2023,26.56,37.12,16.55,15.69,2,Winter,20.57,West2,Ahmedabad
53116661,107,5004,-1,2023-03-03,2023,27.98,37.19,20.07,25.61,3,Summer,17.119999999999997,West2,Goa
53745625,107,5025,-1,2023-06-08,2023,32.17,39.07,24.56,42.85,6,Summer,14.510000000000002,North2,Punjab
53798970,107,5042,-1,2023-06-26,2023,26.78,32.4,23.11,67.56,6,Summer,9.29,South,Hyderabad
53421802,107,5029,-1,2023-07-12,2023,30.58,34.88,26.83,75.17,7,Monsoon,8.050000000000004,North1,Haryana
54013529,107,5006,-1,2023-07-20,2023,28.76,32.54,25.43,84.81,7,Monsoon,7.109999999999999,West2,Indore
54013685,107,5006,-1,2023-07-20,2023,28.76,32.54,25.43,84.81,7,Monsoon,7.109999999999999,West2,Indore
54044540,107,5002,-1,2023-07-26,2023,26.16,27.43,25.19,93.55,7,Monsoon,2.2399999999999984,West1,Navi Mumbai
53421802,107,5029,1,2023-08-03,2023,31.53,35.27,27.45,73.5,8,Monsoon,7.820000000000004,North1,Haryana
53421802,107,5023,1,2023-08-03,2023,31.53,35.27,27.45,73.5,8,Monsoon,7.820000000000004,North1,Haryana
53421802,107,5023,-1,2023-08-03,2023,31.53,35.27,27.45,73.5,8,Monsoon,7.820000000000004,North1,Haryana
54185366,107,5042,-1,2023-08-19,2023,24.02,27.26,22.2,86.4,8,Monsoon,5.060000000000002,South,Hyderabad
54306453,107,5003,-1,2023-09-09,2023,24.08,26.88,22.75,92.45,9,Monsoon,4.129999999999999,West1,Pune
54385075,107,5003,-1,2023-09-23,2023,23.35,26.56,21.63,93.13,9,Monsoon,4.93,West1,Pune
54503192,107,5006,-1,2023-10-10,2023,23.61,29.99,17.99,81.79,10,Post-Monsoon,12.0,West2,Indore
54609762,107,5002,-1,2023-10-28,2023,25.12,32.3,18.75,64.73,10,Post-Monsoon,13.549999999999995,West1,Navi Mumbai
54071547,107,5042,-1,2023-11-24,2023,23.78,28.77,20.51,80.85,11,Post-Monsoon,8.259999999999998,South,Hyderabad
54801664,107,5003,-1,2023-11-28,2023,22.12,26.88,18.72,86.2,11,Post-Monsoon,8.16,West1,Pune
54355810,107,5042,-1,2023-12-06,2023,21.68,27.23,18.37,82.75,12,Winter,8.86,South,Hyderabad
