Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
52802939,107,5003,-1,2023-01-06,2023-01-06,2023
52839773,107,5003,-1,2023-01-12,2023-01-12,2023
52846241,107,5003,-1,2023-01-16,2023-01-16,2023
52844132,107,5003,-1,2023-01-16,2023-01-16,2023
52846241,107,5003,1,2023-01-30,2023-01-30,2023
53074420,107,5030,-1,2023-02-21,2023-02-21,2023
53074406,107,5030,-1,2023-02-21,2023-02-21,2023
53073755,107,5005,-1,2023-02-27,2023-02-27,2023
53116661,107,5004,-1,2023-03-03,2023-03-03,2023
53745625,107,5025,-1,2023-06-08,2023-06-08,2023
53798970,107,5042,-1,2023-06-26,2023-06-26,2023
53421802,107,5029,-1,2023-07-12,2023-07-12,2023
54013529,107,5006,-1,2023-07-20,2023-07-20,2023
54013685,107,5006,-1,2023-07-20,2023-07-20,2023
54044540,107,5002,-1,2023-07-26,2023-07-26,2023
53421802,107,5029,1,2023-08-03,2023-08-03,2023
53421802,107,5023,1,2023-08-03,2023-08-03,2023
53421802,107,5023,-1,2023-08-03,2023-08-03,2023
54185366,107,5042,-1,2023-08-19,2023-08-19,2023
54306453,107,5003,-1,2023-09-09,2023-09-09,2023
54385075,107,5003,-1,2023-09-23,2023-09-23,2023
54503192,107,5006,-1,2023-10-10,2023-10-10,2023
54609762,107,5002,-1,2023-10-28,2023-10-28,2023
54071547,107,5042,-1,2023-11-24,2023-11-24,2023
54801664,107,5003,-1,2023-11-28,2023-11-28,2023
54355810,107,5042,-1,2023-12-06,2023-12-06,2023
