Order,Material,SLoc,   Quantity,Pstng Date,,,,,,,,,,,
68166341,101,5023,-1,1/5/2026,,,,,,,,,,,
68166942,101,5021,-2,1/5/2026,,,,,,,,,,,
68166430,101,5030,-1,1/5/2026,,,,,,,,,,,
68174892,101,5023,-1,1/5/2026,,,,,,,,,,,
68154059,101,5030,-1,1/5/2026,,,,,,,,,,,
68166523,101,5030,-1,1/5/2026,,,,,,,,,,,
68171880,101,5021,-1,1/6/2026,,,,,,,,,,,
68188216,101,5010,-1,1/6/2026,,,,,,,,,,,
68186353,101,5021,-1,1/6/2026,,,,,,,,,,,
68184935,101,5022,-1,1/6/2026,,,,,,,,,,,
68160073,101,5030,-1,1/6/2026,,,,,,,,,,,
68194474,101,5023,-1,1/7/2026,,,,,,,,,,,
68204461,101,5021,-1,1/8/2026,,,,,,,,,,,
68200245,101,5023,-1,1/8/2026,,,,,,,,,,,
68204969,101,5028,-1,1/8/2026,,,,,,,,,,,
68201474,101,5030,-1,1/8/2026,,,,,,,,,,,
68204324,101,5021,-1,1/8/2026,,,,,,,,,,,
68207086,101,5021,-1,1/8/2026,,,,,,,,,,,
68218251,101,5003,-1,1/9/2026,,,,,,,,,,,
68208795,101,5030,-1,1/9/2026,,,,,,,,,,,
68210623,101,5023,-1,1/9/2026,,,,,,,,,,,
68215117,101,5021,-1,1/10/2026,,,,,,,,,,,
68223104,101,5022,-1,1/10/2026,,,,,,,,,,,
68223041,101,5030,-1,1/10/2026,,,,,,,,,,,
68228194,101,5010,-1,1/12/2026,,,,,,,,,,,
68229167,101,5061,-1,1/12/2026,,,,,,,,,,,
68214734,101,5021,-1,1/12/2026,,,,,,,,,,,
68106841,101,5022,-1,1/12/2026,,,,,,,,,,,
68228203,101,5023,-1,1/12/2026,,,,,,,,,,,
68242811,101,5023,-1,1/13/2026,,,,,,,,,,,
68247353,101,5061,-1,1/14/2026,,,,,,,,,,,
68256467,101,5023,-1,1/15/2026,,,,,,,,,,,
68261682,101,5021,-1,1/15/2026,,,,,,,,,,,
68260900,101,5023,-1,1/15/2026,,,,,,,,,,,
68272884,101,5030,-1,1/16/2026,,,,,,,,,,,
68256467,101,5023,1,1/16/2026,,,,,,,,,,,
68275900,101,5010,-1,1/16/2026,,,,,,,,,,,
68272340,101,5023,-1,1/16/2026,,,,,,,,,,,
68283080,101,5001,-1,1/17/2026,,,,,,,,,,,
68283793,101,5030,-1,1/17/2026,,,,,,,,,,,
68283051,101,5021,-1,1/17/2026,,,,,,,,,,,
68269693,101,5021,-2,1/17/2026,,,,,,,,,,,
68283875,101,5042,-1,1/17/2026,,,,,,,,,,,
68282691,101,5023,-1,1/17/2026,,,,,,,,,,,
68287443,101,5023,-1,1/19/2026,,,,,,,,,,,
68284025,101,5023,-1,1/19/2026,,,,,,,,,,,
68136561,101,5021,1,1/19/2026,,,,,,,,,,,
68300854,101,5010,-1,1/20/2026,,,,,,,,,,,
68308308,101,5023,-1,1/21/2026,,,,,,,,,,,
68286849,101,5030,-1,1/21/2026,,,,,,,,,,,
68308735,101,5021,-1,1/21/2026,,,,,,,,,,,
68287177,101,5030,-1,1/21/2026,,,,,,,,,,,
68204324,101,5021,1,1/21/2026,,,,,,,,,,,
68298913,101,5030,-1,1/21/2026,,,,,,,,,,,
68214734,101,5021,1,1/21/2026,,,,,,,,,,,
68321579,101,5030,-1,1/22/2026,,,,,,,,,,,
68319822,101,5023,-2,1/22/2026,,,,,,,,,,,
68320214,101,5021,-1,1/22/2026,,,,,,,,,,,
68319830,101,5023,-2,1/22/2026,,,,,,,,,,,
68314987,101,5030,-1,1/22/2026,,,,,,,,,,,
68328082,101,5061,-1,1/23/2026,,,,,,,,,,,
68334410,101,5043,-1,1/23/2026,,,,,,,,,,,
68330581,101,5023,-1,1/23/2026,,,,,,,,,,,
68330499,101,5023,-1,1/23/2026,,,,,,,,,,,
68330699,101,5030,-1,1/23/2026,,,,,,,,,,,
68313541,101,5021,-1,1/23/2026,,,,,,,,,,,
68336556,101,5023,-1,1/24/2026,,,,,,,,,,,
68342678,101,5021,-1,1/27/2026,,,,,,,,,,,
68354796,101,5010,-1,1/27/2026,,,,,,,,,,,
68354187,101,5021,-1,1/27/2026,,,,,,,,,,,
68354275,101,5021,-1,1/27/2026,,,,,,,,,,,
68354817,101,5043,-1,1/27/2026,,,,,,,,,,,
68356905,101,5030,-2,1/28/2026,,,,,,,,,,,
68365488,101,5021,-1,1/28/2026,,,,,,,,,,,
68366331,101,5041,-1,1/28/2026,,,,,,,,,,,
68359716,101,5021,-1,1/28/2026,,,,,,,,,,,
68359191,101,5023,-1,1/28/2026,,,,,,,,,,,
68364635,101,5023,-1,1/28/2026,,,,,,,,,,,
68376270,101,5021,-1,1/29/2026,,,,,,,,,,,
68334139,101,5023,-1,1/29/2026,,,,,,,,,,,
68377063,101,5030,-1,1/29/2026,,,,,,,,,,,
