Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
55004299,101,5021,-1,2024-01-03,2024-01-03,2024
55010462,101,5021,-1,2024-01-03,2024-01-03,2024
55002647,101,5030,-1,2024-01-03,2024-01-03,2024
55004297,101,5021,-1,2024-01-03,2024-01-03,2024
55002633,101,5030,-1,2024-01-03,2024-01-03,2024
55003311,101,5021,-1,2024-01-03,2024-01-03,2024
54956913,101,5030,-1,2024-01-03,2024-01-03,2024
54998109,101,5030,-1,2024-01-03,2024-01-03,2024
55012153,101,5021,-1,2024-01-03,2024-01-03,2024
55020202,101,5043,-1,2024-01-04,2024-01-04,2024
55012058,101,5022,-1,2024-01-04,2024-01-04,2024
55004273,101,5043,-2,2024-01-04,2024-01-04,2024
55012546,101,5021,-1,2024-01-04,2024-01-04,2024
55010468,101,5029,-1,2024-01-04,2024-01-04,2024
55003919,101,5022,-1,2024-01-04,2024-01-04,2024
55017750,101,5029,-1,2024-01-04,2024-01-04,2024
55017743,101,5029,-1,2024-01-04,2024-01-04,2024
55024079,101,5021,-1,2024-01-05,2024-01-05,2024
54963825,101,5023,-1,2024-01-05,2024-01-05,2024
55020415,101,5021,-1,2024-01-05,2024-01-05,2024
55026069,101,5030,-1,2024-01-06,2024-01-06,2024
55028037,101,5021,-1,2024-01-06,2024-01-06,2024
55033161,101,5021,-1,2024-01-06,2024-01-06,2024
55024118,101,5001,-2,2024-01-06,2024-01-06,2024
55033017,101,5021,-1,2024-01-06,2024-01-06,2024
55036509,101,5001,-1,2024-01-08,2024-01-08,2024
55032445,101,5030,-1,2024-01-08,2024-01-08,2024
54880424,101,5021,-1,2024-01-08,2024-01-08,2024
54945601,101,5001,1,2024-01-08,2024-01-08,2024
55036170,101,5021,-1,2024-01-08,2024-01-08,2024
55032440,101,5030,-1,2024-01-08,2024-01-08,2024
55044844,101,5021,-1,2024-01-09,2024-01-09,2024
55043254,101,5021,-1,2024-01-09,2024-01-09,2024
55044038,101,5021,-1,2024-01-09,2024-01-09,2024
55043252,101,5021,-1,2024-01-09,2024-01-09,2024
55044751,101,5029,-1,2024-01-09,2024-01-09,2024
55056381,101,5063,-1,2024-01-10,2024-01-10,2024
55037349,101,5003,-1,2024-01-10,2024-01-10,2024
55033294,101,5030,-1,2024-01-10,2024-01-10,2024
55051673,101,5021,-1,2024-01-10,2024-01-10,2024
55034287,101,5030,-1,2024-01-10,2024-01-10,2024
55034458,101,5030,-1,2024-01-10,2024-01-10,2024
54997894,101,5029,-1,2024-01-10,2024-01-10,2024
55053241,101,5021,-1,2024-01-10,2024-01-10,2024
55032668,101,5021,-1,2024-01-10,2024-01-10,2024
54997894,101,5029,-1,2024-01-10,2024-01-10,2024
55020414,101,5023,-1,2024-01-11,2024-01-11,2024
55055657,101,5021,-1,2024-01-11,2024-01-11,2024
54924128,101,5043,1,2024-01-12,2024-01-12,2024
55070836,101,5021,-1,2024-01-12,2024-01-12,2024
55070727,101,5021,-1,2024-01-12,2024-01-12,2024
55057794,101,5003,-2,2024-01-12,2024-01-12,2024
55076834,101,5021,-1,2024-01-13,2024-01-13,2024
55077917,101,5030,-1,2024-01-13,2024-01-13,2024
55079935,101,5021,-1,2024-01-15,2024-01-15,2024
55082742,101,5021,-1,2024-01-16,2024-01-16,2024
55083274,101,5030,-1,2024-01-16,2024-01-16,2024
55100380,101,5029,-1,2024-01-17,2024-01-17,2024
55099552,101,5021,-1,2024-01-17,2024-01-17,2024
54981794,101,5049,-1,2024-01-18,2024-01-18,2024
55102975,101,5001,-1,2024-01-18,2024-01-18,2024
55108933,101,5030,-1,2024-01-18,2024-01-18,2024
55118062,101,5021,-1,2024-01-19,2024-01-19,2024
55117911,101,5029,-1,2024-01-19,2024-01-19,2024
55119857,101,5021,-1,2024-01-19,2024-01-19,2024
