Order,Material,SLoc,   Quantity,Pstng Date,,,,,,,,,,,
68165456,594479,5030,-1,1/3/2026,,,,,,,,,,,
68167399,594479,5030,-1,1/3/2026,,,,,,,,,,,
68165748,594479,5001,-1,1/3/2026,,,,,,,,,,,
68171900,594479,5030,-1,1/3/2026,,,,,,,,,,,
68171329,594479,5003,-1,1/3/2026,,,,,,,,,,,
68166601,594479,5001,-1,1/3/2026,,,,,,,,,,,
68166349,594479,5023,-1,1/5/2026,,,,,,,,,,,
68167210,594479,5023,-1,1/5/2026,,,,,,,,,,,
68166915,594479,5021,-1,1/5/2026,,,,,,,,,,,
68166492,594479,5023,-1,1/5/2026,,,,,,,,,,,
68165518,594479,5021,-1,1/5/2026,,,,,,,,,,,
68171431,594479,5021,-1,1/5/2026,,,,,,,,,,,
68173939,594479,5030,-1,1/5/2026,,,,,,,,,,,
68174835,594479,5030,-1,1/5/2026,,,,,,,,,,,
68175733,594479,5023,-1,1/5/2026,,,,,,,,,,,
68175465,594479,5001,-1,1/5/2026,,,,,,,,,,,
68175595,594479,5023,-1,1/5/2026,,,,,,,,,,,
68175564,594479,5023,-1,1/5/2026,,,,,,,,,,,
68168931,594479,5030,-1,1/5/2026,,,,,,,,,,,
68175443,594479,5030,-1,1/5/2026,,,,,,,,,,,
68174629,594479,5021,-1,1/6/2026,,,,,,,,,,,
68175150,594479,5021,-1,1/6/2026,,,,,,,,,,,
68174675,594479,5021,-1,1/6/2026,,,,,,,,,,,
68175369,594479,5021,-1,1/6/2026,,,,,,,,,,,
68184347,594479,5021,-1,1/6/2026,,,,,,,,,,,
68186187,594479,5030,-1,1/6/2026,,,,,,,,,,,
68186966,594479,5021,-1,1/6/2026,,,,,,,,,,,
68175795,594479,5032,-1,1/6/2026,,,,,,,,,,,
68186335,594479,5030,-1,1/6/2026,,,,,,,,,,,
68186682,594479,5030,-1,1/6/2026,,,,,,,,,,,
68186945,594479,5010,-1,1/6/2026,,,,,,,,,,,
68168803,594479,5032,-1,1/6/2026,,,,,,,,,,,
68185092,594479,5010,-1,1/6/2026,,,,,,,,,,,
68186541,594479,5030,-1,1/6/2026,,,,,,,,,,,
68184553,594479,5021,-1,1/6/2026,,,,,,,,,,,
68185838,594479,5021,-1,1/6/2026,,,,,,,,,,,
68181588,594479,5001,-1,1/6/2026,,,,,,,,,,,
68176564,594479,5061,-1,1/6/2026,,,,,,,,,,,
68173923,594479,5030,-1,1/6/2026,,,,,,,,,,,
68182119,594479,5030,-1,1/6/2026,,,,,,,,,,,
68175977,594479,5032,-1,1/6/2026,,,,,,,,,,,
68184001,594479,5030,-1,1/6/2026,,,,,,,,,,,
68186637,594479,5030,-1,1/6/2026,,,,,,,,,,,
68171440,594479,5021,-1,1/6/2026,,,,,,,,,,,
68184108,594479,5030,-1,1/6/2026,,,,,,,,,,,
68184565,594479,5021,-1,1/6/2026,,,,,,,,,,,
68166766,594479,5011,-1,1/6/2026,,,,,,,,,,,
68181660,594479,5021,-1,1/6/2026,,,,,,,,,,,
68187796,594479,5032,-1,1/6/2026,,,,,,,,,,,
68181172,594479,5001,-1,1/6/2026,,,,,,,,,,,
68184340,594479,5021,-1,1/6/2026,,,,,,,,,,,
68196186,594479,5030,-1,1/7/2026,,,,,,,,,,,
68195672,594479,5030,-1,1/7/2026,,,,,,,,,,,
68189946,594479,5021,-1,1/7/2026,,,,,,,,,,,
68194116,594479,5033,-1,1/7/2026,,,,,,,,,,,
68184930,594479,5022,-1,1/7/2026,,,,,,,,,,,
68194069,594479,5021,-1,1/7/2026,,,,,,,,,,,
68194284,594479,5042,-1,1/7/2026,,,,,,,,,,,
68193510,594479,5030,-1,1/7/2026,,,,,,,,,,,
68186289,594479,5022,-1,1/7/2026,,,,,,,,,,,
68193486,594479,5030,-1,1/7/2026,,,,,,,,,,,
68194902,594479,5010,-1,1/7/2026,,,,,,,,,,,
68183756,594479,5022,-1,1/7/2026,,,,,,,,,,,
68196162,594479,5030,-1,1/7/2026,,,,,,,,,,,
68191046,594479,5001,-1,1/7/2026,,,,,,,,,,,
68194953,594479,5001,-1,1/7/2026,,,,,,,,,,,
68198287,594479,5010,-1,1/7/2026,,,,,,,,,,,
68186263,594479,5049,-1,1/7/2026,,,,,,,,,,,
68171701,594479,5005,-1,1/7/2026,,,,,,,,,,,
68191328,594479,5021,-1,1/7/2026,,,,,,,,,,,
68193822,594479,5023,-1,1/7/2026,,,,,,,,,,,
68194216,594479,5001,-1,1/7/2026,,,,,,,,,,,
68195873,594479,5021,-1,1/8/2026,,,,,,,,,,,
68204825,594479,5021,-1,1/8/2026,,,,,,,,,,,
68204015,594479,5021,-1,1/8/2026,,,,,,,,,,,
68205114,594479,5010,-1,1/8/2026,,,,,,,,,,,
68161496,594479,5025,-1,1/8/2026,,,,,,,,,,,
68203833,594479,5030,-1,1/8/2026,,,,,,,,,,,
68201020,594479,5030,-1,1/8/2026,,,,,,,,,,,
68166805,594479,5011,-1,1/8/2026,,,,,,,,,,,
68195782,594479,5021,-1,1/8/2026,,,,,,,,,,,
68205021,594479,5003,-1,1/8/2026,,,,,,,,,,,
68204465,594479,5001,-1,1/9/2026,,,,,,,,,,,
59810411,594479,5001,-1,1/9/2026,,,,,,,,,,,
68220269,594479,5032,-1,1/9/2026,,,,,,,,,,,
68216230,594479,5030,-1,1/9/2026,,,,,,,,,,,
68204414,594479,5030,-1,1/9/2026,,,,,,,,,,,
68204747,594479,5032,-1,1/9/2026,,,,,,,,,,,
68199680,594479,5052,-1,1/9/2026,,,,,,,,,,,
68215162,594479,5043,-1,1/9/2026,,,,,,,,,,,
68215336,594479,5044,-1,1/9/2026,,,,,,,,,,,
68214745,594479,5003,-1,1/9/2026,,,,,,,,,,,
68194852,594479,5022,-1,1/9/2026,,,,,,,,,,,
68194989,594479,5022,-1,1/9/2026,,,,,,,,,,,
68110145,594479,5003,-1,1/9/2026,,,,,,,,,,,
68194874,594479,5022,-1,1/9/2026,,,,,,,,,,,
68194871,594479,5022,-1,1/9/2026,,,,,,,,,,,
68212646,594479,5001,-1,1/9/2026,,,,,,,,,,,
68218251,594479,5003,-1,1/9/2026,,,,,,,,,,,
68216490,594479,5021,-1,1/10/2026,,,,,,,,,,,
68223403,594479,5033,-1,1/10/2026,,,,,,,,,,,
68223970,594479,5030,-1,1/10/2026,,,,,,,,,,,
68221221,594479,5001,-1,1/10/2026,,,,,,,,,,,
68218699,594479,5022,-1,1/10/2026,,,,,,,,,,,
68224074,594479,5010,-1,1/10/2026,,,,,,,,,,,
68204423,594479,5022,-1,1/10/2026,,,,,,,,,,,
68223362,594479,5010,-1,1/10/2026,,,,,,,,,,,
68221963,594479,5011,-1,1/10/2026,,,,,,,,,,,
68220297,594479,5032,-1,1/10/2026,,,,,,,,,,,
68221948,594479,5011,-1,1/10/2026,,,,,,,,,,,
68158626,594479,5022,-1,1/10/2026,,,,,,,,,,,
68223093,594479,5021,-1,1/12/2026,,,,,,,,,,,
68221692,594479,5021,-1,1/12/2026,,,,,,,,,,,
68224083,594479,5022,-1,1/12/2026,,,,,,,,,,,
68223432,594479,5022,-1,1/12/2026,,,,,,,,,,,
68205443,594479,5023,-1,1/12/2026,,,,,,,,,,,
68210598,594479,5023,-1,1/12/2026,,,,,,,,,,,
68223203,594479,5023,-1,1/12/2026,,,,,,,,,,,
68227137,594479,5021,-1,1/12/2026,,,,,,,,,,,
68227284,594479,5021,-1,1/12/2026,,,,,,,,,,,
68223114,594479,5001,-1,1/12/2026,,,,,,,,,,,
68223782,594479,5001,-1,1/12/2026,,,,,,,,,,,
68227998,594479,5023,-1,1/12/2026,,,,,,,,,,,
68231256,594479,5030,-1,1/13/2026,,,,,,,,,,,
58536915,594479,5022,1,1/13/2026,,,,,,,,,,,
59293399,594479,5003,1,1/13/2026,,,,,,,,,,,
68223333,594479,5021,-1,1/13/2026,,,,,,,,,,,
68147018,594479,5033,-1,1/13/2026,,,,,,,,,,,
68227082,594479,5023,-1,1/13/2026,,,,,,,,,,,
68160775,594479,5021,1,1/13/2026,,,,,,,,,,,
68234548,594479,5043,-1,1/13/2026,,,,,,,,,,,
68240655,594479,5022,-1,1/13/2026,,,,,,,,,,,
58122805,594479,5022,1,1/13/2026,,,,,,,,,,,
68175150,594479,5021,1,1/13/2026,,,,,,,,,,,
68227365,594479,5021,-1,1/13/2026,,,,,,,,,,,
68183816,594479,5022,-1,1/13/2026,,,,,,,,,,,
68228378,594479,5023,-1,1/13/2026,,,,,,,,,,,
68236892,594479,5022,-1,1/13/2026,,,,,,,,,,,
68205425,594479,5023,-1,1/13/2026,,,,,,,,,,,
68242702,594479,5021,-1,1/14/2026,,,,,,,,,,,
68242639,594479,5021,-1,1/14/2026,,,,,,,,,,,
68242658,594479,5021,-1,1/14/2026,,,,,,,,,,,
68241489,594479,5021,-1,1/14/2026,,,,,,,,,,,
68242743,594479,5021,-1,1/14/2026,,,,,,,,,,,
59484209,594479,5001,-1,1/14/2026,,,,,,,,,,,
68251600,594479,5036,-1,1/15/2026,,,,,,,,,,,
68258547,594479,5001,-1,1/15/2026,,,,,,,,,,,
68260900,594479,5023,-1,1/15/2026,,,,,,,,,,,
68251374,594479,5023,-1,1/15/2026,,,,,,,,,,,
59203133,594479,5003,1,1/15/2026,,,,,,,,,,,
68256095,594479,5001,-1,1/15/2026,,,,,,,,,,,
68261959,594479,5001,-1,1/15/2026,,,,,,,,,,,
68261452,594479,5021,-1,1/15/2026,,,,,,,,,,,
68227381,594479,5021,-1,1/15/2026,,,,,,,,,,,
68264263,594479,5021,-1,1/15/2026,,,,,,,,,,,
68261404,594479,5021,-1,1/15/2026,,,,,,,,,,,
68263709,594479,5030,-1,1/15/2026,,,,,,,,,,,
68258402,594479,5030,-1,1/15/2026,,,,,,,,,,,
68262719,594479,5030,-1,1/15/2026,,,,,,,,,,,
68257126,594479,5021,-1,1/15/2026,,,,,,,,,,,
68261690,594479,5044,-1,1/15/2026,,,,,,,,,,,
68261506,594479,5030,-1,1/15/2026,,,,,,,,,,,
68263734,594479,5030,-1,1/15/2026,,,,,,,,,,,
68258339,594479,5030,-1,1/15/2026,,,,,,,,,,,
68158633,594479,5022,-1,1/15/2026,,,,,,,,,,,
68241684,594479,5022,-1,1/15/2026,,,,,,,,,,,
68275703,594479,5010,-1,1/16/2026,,,,,,,,,,,
68273639,594479,5001,-1,1/16/2026,,,,,,,,,,,
68273732,594479,5001,-1,1/16/2026,,,,,,,,,,,
68264988,594479,5030,-1,1/16/2026,,,,,,,,,,,
68268393,594479,5001,-1,1/16/2026,,,,,,,,,,,
68262793,594479,5011,-1,1/16/2026,,,,,,,,,,,
68241683,594479,5022,-1,1/16/2026,,,,,,,,,,,
68221692,594479,5021,1,1/16/2026,,,,,,,,,,,
68228358,594479,5021,-1,1/16/2026,,,,,,,,,,,
68269806,594479,5043,-1,1/16/2026,,,,,,,,,,,
68064325,594479,5021,1,1/16/2026,,,,,,,,,,,
68272958,594479,5023,-1,1/16/2026,,,,,,,,,,,
68264284,594479,5021,-1,1/16/2026,,,,,,,,,,,
68243053,594479,5021,-1,1/16/2026,,,,,,,,,,,
68264385,594479,5021,-1,1/16/2026,,,,,,,,,,,
68265111,594479,5022,-1,1/16/2026,,,,,,,,,,,
68275368,594479,5021,-1,1/17/2026,,,,,,,,,,,
68277587,594479,5021,-1,1/17/2026,,,,,,,,,,,
68263966,594479,5021,-1,1/17/2026,,,,,,,,,,,
68283045,594479,5021,-1,1/17/2026,,,,,,,,,,,
68282794,594479,5030,-1,1/17/2026,,,,,,,,,,,
68283734,594479,5028,-1,1/17/2026,,,,,,,,,,,
68275671,594479,5021,-1,1/17/2026,,,,,,,,,,,
68283499,594479,5001,-1,1/17/2026,,,,,,,,,,,
68283844,594479,5030,-1,1/17/2026,,,,,,,,,,,
68282690,594479,5030,-1,1/17/2026,,,,,,,,,,,
68274277,594479,5042,-1,1/17/2026,,,,,,,,,,,
68282765,594479,5001,-1,1/17/2026,,,,,,,,,,,
68283492,594479,5032,-1,1/17/2026,,,,,,,,,,,
68231032,594479,5021,-1,1/17/2026,,,,,,,,,,,
68283752,594479,5030,-1,1/17/2026,,,,,,,,,,,
68282973,594479,5021,-1,1/17/2026,,,,,,,,,,,
68290609,594479,5021,-1,1/19/2026,,,,,,,,,,,
68288301,594479,5001,-1,1/19/2026,,,,,,,,,,,
68283958,594479,5022,-1,1/19/2026,,,,,,,,,,,
68286187,594479,5001,-1,1/19/2026,,,,,,,,,,,
68287569,594479,5041,-1,1/19/2026,,,,,,,,,,,
68284472,594479,5021,-1,1/19/2026,,,,,,,,,,,
68283603,594479,5011,-1,1/19/2026,,,,,,,,,,,
