Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
49711224.0,102,5023,-1,2021-01-04,2021-01-04,2021
49732495.0,102,5030,-1,2021-01-04,2021-01-04,2021
49729042.0,102,5001,-2,2021-01-04,2021-01-04,2021
49729072.0,102,5001,-2,2021-01-04,2021-01-04,2021
49729699.0,102,5042,-2,2021-01-04,2021-01-04,2021
49728121.0,102,5030,-1,2021-01-04,2021-01-04,2021
49729063.0,102,5001,-2,2021-01-04,2021-01-04,2021
49729344.0,102,5030,-1,2021-01-04,2021-01-04,2021
49731172.0,102,5024,-1,2021-01-05,2021-01-05,2021
49732526.0,102,5030,-1,2021-01-05,2021-01-05,2021
49729218.0,102,5003,-1,2021-01-05,2021-01-05,2021
49737976.0,102,5024,-1,2021-01-05,2021-01-05,2021
49737426.0,102,5024,-1,2021-01-05,2021-01-05,2021
49692522.0,102,5022,-1,2021-01-05,2021-01-05,2021
49729886.0,102,5001,-1,2021-01-05,2021-01-05,2021
49736428.0,102,5002,-2,2021-01-06,2021-01-06,2021
49730660.0,102,5001,-4,2021-01-06,2021-01-06,2021
49022595.0,102,5002,2,2021-01-06,2021-01-06,2021
49739800.0,102,5003,-2,2021-01-07,2021-01-07,2021
49729040.0,102,5021,-1,2021-01-07,2021-01-07,2021
49749357.0,102,5001,-2,2021-01-08,2021-01-08,2021
49749562.0,102,5001,-2,2021-01-08,2021-01-08,2021
49754157.0,102,5021,-1,2021-01-09,2021-01-09,2021
49753559.0,102,5030,-1,2021-01-09,2021-01-09,2021
49647401.0,102,5021,1,2021-01-11,2021-01-11,2021
49667223.0,102,5021,-1,2021-01-11,2021-01-11,2021
49755834.0,102,5030,-1,2021-01-11,2021-01-11,2021
49695603.0,102,5021,-2,2021-01-11,2021-01-11,2021
49761253.0,102,5021,-1,2021-01-12,2021-01-12,2021
49749904.0,102,5032,-1,2021-01-12,2021-01-12,2021
49720073.0,102,5003,-1,2021-01-13,2021-01-13,2021
49772642.0,102,5030,-1,2021-01-14,2021-01-14,2021
49720073.0,102,5003,1,2021-01-14,2021-01-14,2021
49770182.0,102,5030,-1,2021-01-14,2021-01-14,2021
49581862.0,102,5003,-1,2021-01-14,2021-01-14,2021
49768984.0,102,5001,-2,2021-01-16,2021-01-16,2021
49781372.0,102,5011,-1,2021-01-19,2021-01-19,2021
49790117.0,102,5030,-1,2021-01-19,2021-01-19,2021
