Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
52783502,101,5005,-2,2023-01-04,2023-01-04,2023
52774486,101,5030,-1,2023-01-05,2023-01-05,2023
52803234,101,5021,-1,2023-01-05,2023-01-05,2023
52772511,101,5042,-1,2023-01-05,2023-01-05,2023
52802931,101,5021,-1,2023-01-05,2023-01-05,2023
52803274,101,5021,-1,2023-01-05,2023-01-05,2023
52777813,101,5030,-1,2023-01-05,2023-01-05,2023
52789099,101,5042,-1,2023-01-05,2023-01-05,2023
52800935,101,5022,-1,2023-01-05,2023-01-05,2023
52801318,101,5030,-1,2023-01-05,2023-01-05,2023
52803251,101,5021,-1,2023-01-05,2023-01-05,2023
52810180,101,5029,-1,2023-01-06,2023-01-06,2023
52816047,101,5021,-1,2023-01-09,2023-01-09,2023
52818340,101,5021,-1,2023-01-09,2023-01-09,2023
52818304,101,5030,-1,2023-01-09,2023-01-09,2023
52817213,101,5021,-1,2023-01-09,2023-01-09,2023
52820219,101,5030,-1,2023-01-09,2023-01-09,2023
52819361,101,5030,-1,2023-01-09,2023-01-09,2023
52821957,101,5002,-1,2023-01-10,2023-01-10,2023
52817219,101,5021,-1,2023-01-10,2023-01-10,2023
52819709,101,5021,-1,2023-01-10,2023-01-10,2023
52821924,101,5002,-1,2023-01-10,2023-01-10,2023
52818626,101,5021,-1,2023-01-11,2023-01-11,2023
52844297,101,5021,-1,2023-01-12,2023-01-12,2023
52843981,101,5021,-1,2023-01-12,2023-01-12,2023
52844430,101,5021,-1,2023-01-12,2023-01-12,2023
52844295,101,5021,-1,2023-01-12,2023-01-12,2023
52839548,101,5003,-1,2023-01-12,2023-01-12,2023
52652056,101,5003,-1,2023-01-12,2023-01-12,2023
52853788,101,5030,-1,2023-01-13,2023-01-13,2023
52852523,101,5021,-1,2023-01-13,2023-01-13,2023
52851568,101,5042,-1,2023-01-13,2023-01-13,2023
52854081,101,5023,-1,2023-01-13,2023-01-13,2023
52425838,101,5022,-1,2023-01-13,2023-01-13,2023
52860179,101,5021,-1,2023-01-16,2023-01-16,2023
52863914,101,5022,-1,2023-01-16,2023-01-16,2023
52862990,101,5021,-1,2023-01-16,2023-01-16,2023
52815983,101,5001,-1,2023-01-16,2023-01-16,2023
52871291,101,5021,-1,2023-01-17,2023-01-17,2023
52864687,101,5021,-1,2023-01-17,2023-01-17,2023
52871527,101,5022,-1,2023-01-17,2023-01-17,2023
52880051,101,5021,-1,2023-01-19,2023-01-19,2023
52888275,101,5042,-1,2023-01-19,2023-01-19,2023
52880057,101,5021,-1,2023-01-19,2023-01-19,2023
52864530,101,5021,-1,2023-01-20,2023-01-20,2023
52889848,101,5021,-1,2023-01-20,2023-01-20,2023
52880302,101,5021,-1,2023-01-20,2023-01-20,2023
52891838,101,5023,-1,2023-01-21,2023-01-21,2023
52904878,101,5021,-1,2023-01-24,2023-01-24,2023
52873508,101,5021,-1,2023-01-24,2023-01-24,2023
52907480,101,5021,-1,2023-01-24,2023-01-24,2023
52916646,101,5021,-1,2023-01-27,2023-01-27,2023
52923280,101,5021,-1,2023-01-27,2023-01-27,2023
52943119,101,5042,-1,2023-01-28,2023-01-28,2023
52941492,101,5030,-1,2023-01-28,2023-01-28,2023
52944448,101,5021,-1,2023-01-30,2023-01-30,2023
52945481,101,5041,-1,2023-01-30,2023-01-30,2023
52937853,101,5021,-1,2023-01-30,2023-01-30,2023
52948270,101,5042,-1,2023-01-30,2023-01-30,2023
97157103,101,5019,-2,2023-01-31,2023-01-31,2023
52379243,101,5005,1,2023-01-31,2023-01-31,2023
52954637,101,5021,-1,2023-01-31,2023-01-31,2023
52955024,101,5021,-1,2023-01-31,2023-01-31,2023
52954660,101,5021,-1,2023-01-31,2023-01-31,2023
52957214,101,5029,-1,2023-01-31,2023-01-31,2023
