Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
98717648.0,108,5020,-20,2025-01-06,2025-01-06,2025
57470929.0,108,5033,-1,2025-01-07,2025-01-07,2025
57470906.0,108,5033,-1,2025-01-07,2025-01-07,2025
57531933.0,108,5030,-1,2025-01-15,2025-01-15,2025
57498791.0,108,5025,-1,2025-01-15,2025-01-15,2025
57490731.0,108,5064,-1,2025-01-15,2025-01-15,2025
98740470.0,108,5020,-6,2025-01-15,2025-01-15,2025
57585031.0,108,5042,-1,2025-01-23,2025-01-23,2025
98773536.0,108,5019,-4,2025-01-30,2025-01-30,2025
57648565.0,108,5033,-1,2025-01-31,2025-01-31,2025
57656692.0,108,5033,-1,2025-02-03,2025-02-03,2025
57654632.0,108,5023,-1,2025-02-03,2025-02-03,2025
57632851.0,108,5004,-1,2025-02-03,2025-02-03,2025
57654321.0,108,5042,-1,2025-02-04,2025-02-04,2025
57680113.0,108,5061,-1,2025-02-06,2025-02-06,2025
98796112.0,108,5020,-39,2025-02-10,2025-02-10,2025
57704938.0,108,5005,-1,2025-02-10,2025-02-10,2025
57718133.0,108,5033,-1,2025-02-11,2025-02-11,2025
57704938.0,108,5005,1,2025-02-12,2025-02-12,2025
57622191.0,108,5061,-1,2025-02-12,2025-02-12,2025
57758410.0,108,5042,-1,2025-02-17,2025-02-17,2025
57779349.0,108,5030,-1,2025-02-19,2025-02-19,2025
57769476.0,108,5030,-1,2025-02-19,2025-02-19,2025
57788384.0,108,5030,-1,2025-02-20,2025-02-20,2025
57798244.0,108,5024,-1,2025-02-21,2025-02-21,2025
57804700.0,108,5022,-1,2025-02-22,2025-02-22,2025
57797612.0,108,5064,-1,2025-02-22,2025-02-22,2025
57790464.0,108,5005,-1,2025-02-25,2025-02-25,2025
57823090.0,108,5006,-1,2025-02-25,2025-02-25,2025
57805750.0,108,5046,-1,2025-02-26,2025-02-26,2025
57838868.0,108,5005,-1,2025-02-28,2025-02-28,2025
57855751.0,108,5046,-1,2025-03-01,2025-03-01,2025
57819252.0,108,5041,-1,2025-03-01,2025-03-01,2025
57859143.0,108,5005,-1,2025-03-03,2025-03-03,2025
57855236.0,108,5005,-1,2025-03-03,2025-03-03,2025
57857087.0,108,5030,-1,2025-03-03,2025-03-03,2025
57788384.0,108,5030,1,2025-03-04,2025-03-04,2025
57718104.0,108,5033,-1,2025-03-04,2025-03-04,2025
57862231.0,108,5046,-1,2025-03-04,2025-03-04,2025
57863715.0,108,5001,-1,2025-03-04,2025-03-04,2025
