Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
49651244.0,103,5041,-2,2021-01-05,2021-01-05,2021
49736828.0,103,5030,-2,2021-01-05,2021-01-05,2021
49753696.0,103,5041,-1,2021-01-09,2021-01-09,2021
49760114.0,103,5041,-2,2021-01-12,2021-01-12,2021
49739287.0,103,5030,-1,2021-01-12,2021-01-12,2021
49757346.0,103,5021,-1,2021-01-12,2021-01-12,2021
49695612.0,103,5005,-1,2021-01-13,2021-01-13,2021
49486176.0,103,5021,-1,2021-01-13,2021-01-13,2021
49515874.0,103,5021,-2,2021-01-13,2021-01-13,2021
49773674.0,103,5021,-1,2021-01-14,2021-01-14,2021
49735184.0,103,5005,-1,2021-01-16,2021-01-16,2021
49599920.0,103,5021,-2,2021-01-16,2021-01-16,2021
49661695.0,103,5021,-2,2021-01-16,2021-01-16,2021
49593755.0,103,5021,-2,2021-01-16,2021-01-16,2021
49695602.0,103,5005,-1,2021-01-16,2021-01-16,2021
49628311.0,103,5021,-2,2021-01-16,2021-01-16,2021
49535211.0,103,5021,-2,2021-01-16,2021-01-16,2021
49610384.0,103,5021,-1,2021-01-16,2021-01-16,2021
49529879.0,103,5021,-1,2021-01-16,2021-01-16,2021
49756222.0,103,5024,-2,2021-01-16,2021-01-16,2021
49590665.0,103,5021,-1,2021-01-16,2021-01-16,2021
49636884.0,103,5021,-2,2021-01-16,2021-01-16,2021
49727983.0,103,5003,-2,2021-01-16,2021-01-16,2021
49781830.0,103,5021,-1,2021-01-16,2021-01-16,2021
49636967.0,103,5021,-1,2021-01-18,2021-01-18,2021
49466622.0,103,5003,-5,2021-01-18,2021-01-18,2021
49744684.0,103,5021,-1,2021-01-18,2021-01-18,2021
49512991.0,103,5003,-3,2021-01-18,2021-01-18,2021
49782506.0,103,5021,-1,2021-01-18,2021-01-18,2021
49512991.0,103,5003,-1,2021-01-19,2021-01-19,2021
49727983.0,103,5003,2,2021-01-19,2021-01-19,2021
49793893.0,103,5003,-1,2021-01-20,2021-01-20,2021
49610384.0,103,5021,1,2021-01-21,2021-01-21,2021
49634901.0,103,5004,1,2021-01-21,2021-01-21,2021
49628311.0,103,5021,2,2021-01-21,2021-01-21,2021
49805204.0,103,5021,-2,2021-01-22,2021-01-22,2021
49687813.0,103,5004,-1,2021-01-22,2021-01-22,2021
49757354.0,103,5024,-1,2021-01-22,2021-01-22,2021
49763406.0,103,5003,-3,2021-01-23,2021-01-23,2021
49532329.0,103,5003,-3,2021-01-23,2021-01-23,2021
49782541.0,103,5002,-2,2021-01-23,2021-01-23,2021
49808216.0,103,5030,-1,2021-01-23,2021-01-23,2021
49637012.0,103,5002,-1,2021-01-25,2021-01-25,2021
49604273.0,103,5021,-1,2021-01-25,2021-01-25,2021
49799262.0,103,5003,-3,2021-01-27,2021-01-27,2021
49615036.0,103,5003,-5,2021-01-27,2021-01-27,2021
49794060.0,103,5003,-2,2021-01-27,2021-01-27,2021
49820691.0,103,5024,-1,2021-01-27,2021-01-27,2021
49520828.0,103,5021,-1,2021-01-28,2021-01-28,2021
49832417.0,103,5021,-2,2021-01-29,2021-01-29,2021
49801317.0,103,5009,-1,2021-01-29,2021-01-29,2021
49716288.0,103,5010,-1,2021-01-30,2021-01-30,2021
49835551.0,103,5021,-1,2021-01-30,2021-01-30,2021
49660317.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660323.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660325.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660322.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660321.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660326.0,103,5001,-12,2021-02-01,2021-02-01,2021
49839143.0,103,5021,-1,2021-02-01,2021-02-01,2021
49660328.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660329.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660320.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660318.0,103,5001,-12,2021-02-01,2021-02-01,2021
49660153.0,103,5001,-1,2021-02-01,2021-02-01,2021
49838658.0,103,5003,-1,2021-02-02,2021-02-02,2021
49844586.0,103,5021,-1,2021-02-02,2021-02-02,2021
49835687.0,103,5009,-1,2021-02-02,2021-02-02,2021
49826352.0,103,5003,-3,2021-02-02,2021-02-02,2021
49839036.0,103,5002,-1,2021-02-02,2021-02-02,2021
49753188.0,103,5042,-4,2021-02-02,2021-02-02,2021
49794107.0,103,5003,-4,2021-02-04,2021-02-04,2021
49853236.0,103,5041,-1,2021-02-04,2021-02-04,2021
49857438.0,103,5024,-1,2021-02-04,2021-02-04,2021
49827014.0,103,5003,-1,2021-02-04,2021-02-04,2021
49857487.0,103,5021,-1,2021-02-05,2021-02-05,2021
49665580.0,103,5009,-2,2021-02-06,2021-02-06,2021
49863810.0,103,5021,-4,2021-02-06,2021-02-06,2021
49865906.0,103,5002,-2,2021-02-08,2021-02-08,2021
49870576.0,103,5025,-1,2021-02-10,2021-02-10,2021
49866503.0,103,5021,-1,2021-02-10,2021-02-10,2021
49529879.0,103,5021,1,2021-02-10,2021-02-10,2021
49875422.0,103,5021,-2,2021-02-10,2021-02-10,2021
49799262.0,103,5003,3,2021-02-10,2021-02-10,2021
49866450.0,103,5003,-6,2021-02-10,2021-02-10,2021
49837817.0,103,5002,-10,2021-02-11,2021-02-11,2021
49807658.0,103,5009,-1,2021-02-11,2021-02-11,2021
49870991.0,103,5003,-2,2021-02-11,2021-02-11,2021
49840656.0,103,5001,-2,2021-02-11,2021-02-11,2021
49887873.0,103,5003,-3,2021-02-15,2021-02-15,2021
49863742.0,103,5032,-1,2021-02-15,2021-02-15,2021
49881695.0,103,5021,-1,2021-02-15,2021-02-15,2021
49889320.0,103,5041,-3,2021-02-15,2021-02-15,2021
49888942.0,103,5041,-1,2021-02-15,2021-02-15,2021
49889375.0,103,5003,-2,2021-02-15,2021-02-15,2021
49879988.0,103,5021,-2,2021-02-15,2021-02-15,2021
49889718.0,103,5024,-2,2021-02-17,2021-02-17,2021
49870991.0,103,5003,1,2021-02-17,2021-02-17,2021
49879988.0,103,5021,2,2021-02-18,2021-02-18,2021
49893867.0,103,5003,-1,2021-02-18,2021-02-18,2021
49911498.0,103,5042,-4,2021-02-20,2021-02-20,2021
49911635.0,103,5030,-2,2021-02-20,2021-02-20,2021
49912121.0,103,5030,-2,2021-02-20,2021-02-20,2021
49896036.0,103,5024,-1,2021-02-22,2021-02-22,2021
49532329.0,103,5003,2,2021-02-22,2021-02-22,2021
49915538.0,103,5021,-1,2021-02-22,2021-02-22,2021
49920254.0,103,5025,-1,2021-02-23,2021-02-23,2021
49893867.0,103,5003,-2,2021-02-23,2021-02-23,2021
49918861.0,103,5003,-2,2021-02-23,2021-02-23,2021
49931439.0,103,5024,-2,2021-02-25,2021-02-25,2021
49864188.0,103,5042,-3,2021-02-25,2021-02-25,2021
49924492.0,103,5021,-2,2021-02-26,2021-02-26,2021
49920988.0,103,5021,-1,2021-02-26,2021-02-26,2021
49935025.0,103,5030,-1,2021-02-26,2021-02-26,2021
49934714.0,103,5043,-2,2021-02-26,2021-02-26,2021
49923974.0,103,5001,-7,2021-02-27,2021-02-27,2021
49794107.0,103,5003,4,2021-02-27,2021-02-27,2021
49918996.0,103,5041,-1,2021-03-01,2021-03-01,2021
49941006.0,103,5021,-2,2021-03-02,2021-03-02,2021
49950082.0,103,5025,-1,2021-03-03,2021-03-03,2021
49519988.0,103,5041,-3,2021-03-03,2021-03-03,2021
49956576.0,103,5030,-2,2021-03-04,2021-03-04,2021
49956458.0,103,5021,-2,2021-03-04,2021-03-04,2021
49957637.0,103,5030,-1,2021-03-04,2021-03-04,2021
49961576.0,103,5030,-1,2021-03-05,2021-03-05,2021
49961838.0,103,5025,-4,2021-03-05,2021-03-05,2021
49961838.0,103,5025,-4,2021-03-05,2021-03-05,2021
49965186.0,103,5021,-2,2021-03-06,2021-03-06,2021
49962673.0,103,5042,-2,2021-03-06,2021-03-06,2021
