Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
49729246,101,5001,-1,2021-01-05,2021-01-05,2021
49729246,101,5001,1,2021-01-05,2021-01-05,2021
49686867,101,5021,1,2021-01-05,2021-01-05,2021
49735199,101,5021,-1,2021-01-05,2021-01-05,2021
49729246,101,5001,-1,2021-01-06,2021-01-06,2021
49562049,101,5003,-1,2021-01-07,2021-01-07,2021
49754369,101,5021,-1,2021-01-11,2021-01-11,2021
49794073,101,5021,-1,2021-01-20,2021-01-20,2021
49722909,101,5002,-1,2021-01-22,2021-01-22,2021
49809718,101,5001,-1,2021-01-25,2021-01-25,2021
49826003,101,5001,-1,2021-01-28,2021-01-28,2021
49863963,101,5061,-1,2021-02-06,2021-02-06,2021
49864745,101,5041,-1,2021-02-08,2021-02-08,2021
49895798,101,5030,-1,2021-02-16,2021-02-16,2021
49899076,101,5001,-1,2021-02-17,2021-02-17,2021
49905209,101,5023,-1,2021-02-18,2021-02-18,2021
49908597,101,5022,-1,2021-02-19,2021-02-19,2021
49905209,101,5023,1,2021-02-23,2021-02-23,2021
49914118,101,5041,-2,2021-02-27,2021-02-27,2021
49942972,101,5001,-2,2021-03-02,2021-03-02,2021
49967272,101,5021,-1,2021-03-08,2021-03-08,2021
49963753,101,5003,-1,2021-03-09,2021-03-09,2021
49987402,101,5002,-1,2021-03-12,2021-03-12,2021
50002365,101,5001,-1,2021-03-17,2021-03-17,2021
50010133,101,5021,-1,2021-03-18,2021-03-18,2021
50011340,101,5030,-1,2021-03-19,2021-03-19,2021
50010133,101,5021,1,2021-03-20,2021-03-20,2021
50019368,101,5021,-1,2021-03-20,2021-03-20,2021
50022875,101,5041,-1,2021-03-22,2021-03-22,2021
50029373,101,5003,-1,2021-03-24,2021-03-24,2021
50019368,101,5021,1,2021-03-24,2021-03-24,2021
48794230,101,5042,-1,2021-03-24,2021-03-24,2021
50066165,101,5021,-1,2021-04-02,2021-04-02,2021
50070615,101,5001,-1,2021-04-03,2021-04-03,2021
50079648,101,5021,-1,2021-04-07,2021-04-07,2021
50075491,101,5001,-1,2021-04-12,2021-04-12,2021
