iter	RMSE
0	142.2268279
1	138.9506881
2	135.5259478
3	132.5214096
4	129.5133933
5	127.1071852
6	124.4254703
7	122.5652711
8	119.8807193
9	116.8272209
10	114.6802409
11	112.8519299
12	110.9400087
13	109.2082533
14	107.6834072
15	106.0059027
16	104.6108408
17	102.9060283
18	100.9808795
19	99.32896387
20	97.66611402
21	95.99225985
22	94.8167121
23	93.78203584
24	92.61598443
25	91.66095817
26	90.19000676
27	89.25763641
28	88.26632857
29	87.3758188
30	85.70130358
31	85.05386336
32	84.21414052
33	83.38252504
34	82.4454497
35	81.71587613
36	81.3136209
37	80.48841245
38	79.90977991
39	79.25516976
40	78.65164539
41	77.95401976
42	77.77913501
43	77.23917697
44	76.53571621
45	76.01701594
46	75.14248993
47	74.62196008
48	73.8873025
49	73.40784041
50	72.63054276
51	72.44434384
52	72.10277574
53	71.69578753
54	71.04579538
55	70.89575616
56	70.60110874
57	70.17562997
58	69.42729872
59	68.56369195
60	68.22671616
61	67.82947593
62	67.38897388
63	67.0369583
64	66.84026109
65	66.46912126
66	66.09339119
67	65.79804516
68	65.54183502
69	65.28508116
70	65.16283036
71	65.02299076
72	64.71325992
73	64.55713011
74	64.40623988
75	63.5906711
76	63.19491018
77	63.07660763
78	62.55279244
79	62.09784298
80	61.56936283
81	60.67977403
82	60.58944979
83	60.45375619
84	60.26595416
85	59.92491302
86	59.35272107
87	59.23358893
88	58.72187632
89	58.47312933
90	57.90734121
91	57.74225472
92	57.5311449
93	57.30859565
94	57.09125858
95	56.96870053
96	56.86316197
97	56.75969331
98	56.52016426
99	56.21907423
100	55.7122097
101	55.42980703
102	55.21227401
103	55.06966297
104	54.84890728
105	54.75247166
106	54.30515317
107	54.10323783
108	53.97980045
109	53.53033664
110	53.09987972
111	52.97947592
112	52.66010852
113	52.54670397
114	52.43128653
115	52.1700282
116	52.03092257
117	51.92158954
118	51.81476643
119	51.48923622
120	51.38390239
121	51.28099483
122	51.17163426
123	50.85429763
124	50.75521478
125	50.65842441
126	50.48109391
127	50.16401769
128	50.07048
129	49.76613456
130	49.67502996
131	49.08743478
132	48.79252692
133	48.48888862
134	48.38405678
135	48.26552779
136	48.16401014
137	47.96136921
138	47.84479786
139	47.76277211
140	47.46099678
141	47.38146319
142	47.30381236
143	47.2280001
144	47.12299508
145	46.78723304
146	46.50455689
147	46.43073744
148	46.35866184
149	46.05306507
150	45.98237211
151	45.91335364
152	45.55764838
153	45.49147728
154	45.27087616
155	45.20646529
156	45.11868451
157	44.84139576
158	44.77884346
159	44.71777128
160	44.45280375
161	44.24288201
162	44.0558401
163	43.76717782
164	43.62043289
165	43.5622643
166	43.10501778
167	43.04953225
168	42.8761882
169	42.82213252
170	42.54715995
171	42.40671379
172	42.26265819
173	42.12980471
174	41.95301781
175	41.70121558
176	41.64959525
177	41.49110985
178	41.44084735
179	41.29795842
180	41.14693376
181	40.82996443
182	40.78180116
183	40.55623851
184	40.41571945
185	40.36850052
186	40.10999823
187	39.9572912
188	39.91169265
189	39.86638479
190	39.72939001
191	39.49991376
192	39.44270698
193	39.31195793
194	39.09314149
195	39.0492149
196	38.90035771
197	38.85754249
198	38.6842522
199	38.47338026
