iter	RMSE
0	120.622804
1	116.8092338
2	112.3195447
3	108.8366303
4	105.092746
5	101.4681284
6	97.84764989
7	94.88785541
8	91.81517577
9	88.79233858
10	86.40632528
11	83.63539741
12	81.08695669
13	78.26646854
14	75.52913064
15	72.97548497
16	70.49227483
17	67.8285795
18	65.37461528
19	63.15822667
20	61.14601007
21	59.09550835
22	57.04837178
23	55.15058505
24	53.76356063
25	52.00923043
26	50.20261638
27	48.57363079
28	47.08573078
29	45.79691406
30	44.51347752
31	43.1847907
32	41.70508007
33	40.42454246
34	39.26825669
35	37.91940164
36	36.92669414
37	35.91443248
38	34.91473059
39	33.92400012
40	32.97714918
41	32.05261615
42	31.10263525
43	30.34398256
44	29.55268848
45	28.74914431
46	28.09204002
47	27.25881895
48	26.47933491
49	25.76992236
50	25.17172833
51	24.62312555
52	24.11153282
53	23.45062418
54	22.93550257
55	22.49417232
56	22.0220534
57	21.5040215
58	21.01322891
59	20.57797597
60	20.16637432
61	19.7222805
62	19.28576444
63	18.91924255
64	18.57597826
65	18.26066305
66	17.96730992
67	17.66703367
68	17.38263462
69	17.04266897
70	16.77937542
71	16.50148684
72	16.24058928
73	15.9753689
74	15.76715072
75	15.52068376
76	15.31748799
77	15.07716507
78	14.84775762
79	14.61887166
80	14.41918147
81	14.23638229
82	14.08461563
83	13.89486408
84	13.68695467
85	13.47989362
86	13.28702645
87	13.15548694
88	12.96354927
89	12.78951564
90	12.60448147
91	12.47415191
92	12.32551348
93	12.17007705
94	12.05560003
95	11.87899371
96	11.73979978
97	11.60149577
98	11.42086333
99	11.21721295
100	11.07973133
101	10.92861763
102	10.78815216
103	10.66099716
104	10.54708374
105	10.42902614
106	10.29373656
107	10.16154963
108	10.0314184
109	9.926630188
110	9.825270151
111	9.74307211
112	9.60927864
113	9.496890761
114	9.405612884
115	9.268466292
116	9.140506648
117	9.046001445
118	8.919240697
119	8.81932952
120	8.723464164
121	8.60015312
122	8.515961557
123	8.43610069
124	8.336168138
125	8.252723382
126	8.161423836
127	8.090796792
128	8.019060883
129	7.968504643
130	7.902771136
131	7.799262549
132	7.718636495
133	7.654172718
134	7.58186279
135	7.522883062
136	7.430592912
137	7.371360374
138	7.32712465
139	7.234014197
140	7.168539832
141	7.114015416
142	7.072952034
143	7.030512317
144	6.945127707
145	6.886876148
146	6.84786743
147	6.76654561
148	6.728869989
149	6.692059534
150	6.632149639
151	6.576827052
152	6.497386164
153	6.463815028
154	6.411829275
155	6.378247651
156	6.331948317
157	6.299702904
158	6.251402004
159	6.178465714
160	6.107210659
161	6.060613338
162	5.99653739
163	5.961952118
164	5.897217509
165	5.849246784
166	5.787441957
167	5.754569977
168	5.708946895
169	5.677401594
170	5.646030626
171	5.602989463
172	5.572668772
173	5.531858003
174	5.502668249
175	5.448117315
176	5.396031801
177	5.35467913
178	5.328184843
179	5.277827165
180	5.251682994
181	5.212986311
182	5.187494306
183	5.146728596
184	5.109864202
185	5.070792148
186	5.035602669
187	5.01183799
188	4.963085752
189	4.93981531
190	4.888005407
191	4.842598258
192	4.795970418
193	4.762959647
194	4.741426282
195	4.707392049
196	4.675931479
197	4.628310413
198	4.584611696
199	4.545432441
