Material,Material Description,SLoc,Quantity,Pstng Date,Tmax,Tmin,RH,Delta_T
111,SCPU,5030,-1,2023-01-24,22.22,12.59,80.09,9.63
111,SCPU,5042,-1,2023-01-31,30.63,16.99,61.65,13.64
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-19,38.16,30.47,49.0,7.689999999999998
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-20,38.6,29.76,53.21,8.84
111,SCPU,5021,-1,2023-06-21,38.08,29.3,52.31,8.779999999999998
111,SCPU,5021,-1,2023-06-21,38.08,29.3,52.31,8.779999999999998
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-01,36.05,25.94,67.02,10.109999999999996
111,SCPU,5021,-1,2023-07-05,37.25,29.27,61.69,7.98
111,SCPU,5021,-1,2023-07-05,37.25,29.27,61.69,7.98
111,SCPU,5021,-1,2023-07-05,37.25,29.27,61.69,7.98
111,SCPU,5021,-1,2023-07-05,37.25,29.27,61.69,7.98
111,SCPU,5021,-1,2023-07-06,32.22,27.61,77.8,4.609999999999999
111,SCPU,5021,-1,2023-07-06,32.22,27.61,77.8,4.609999999999999
111,SCPU,5014,-1,2023-08-08,30.67,24.56,86.77,6.110000000000003
111,SCPU,5014,-1,2023-09-13,31.07,24.57,82.24,6.5
