Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
49730818,110,5021,-1,2021-01-04,2021-01-04,2021
49730619,110,5021,-1,2021-01-04,2021-01-04,2021
49741904,110,5021,-1,2021-01-06,2021-01-06,2021
49740590,110,5021,-1,2021-01-06,2021-01-06,2021
49740683,110,5021,-1,2021-01-06,2021-01-06,2021
49744818,110,5021,-1,2021-01-07,2021-01-07,2021
49743998,110,5021,-1,2021-01-07,2021-01-07,2021
49749604,110,5021,-1,2021-01-08,2021-01-08,2021
49753630,110,5021,-1,2021-01-09,2021-01-09,2021
49755789,110,5021,-1,2021-01-11,2021-01-11,2021
49761227,110,5021,-1,2021-01-12,2021-01-12,2021
49744818,110,5021,1,2021-01-21,2021-01-21,2021
49835212,110,5021,-1,2021-01-30,2021-01-30,2021
49696600,110,5021,1,2021-02-03,2021-02-03,2021
49858689,110,5021,-1,2021-03-18,2021-03-18,2021
50144672,110,5002,-1,2021-07-13,2021-07-13,2021
50243407,110,5046,-1,2021-07-15,2021-07-15,2021
50472152,110,5001,-1,2021-07-26,2021-07-26,2021
50582970,110,5064,-1,2021-09-27,2021-09-27,2021
