Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
68167716,106,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68165282,106,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68162363,106,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68166553,106,5021,-1,2026-01-05,2026,11.39,18.95,4.17,70.98,1,Winter,14.78,North1,Delhi
68165899,106,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68174156,106,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68175683,106,5023,-1,2026-01-05,2026,11.92,19.82,5.41,65.96,1,Winter,14.41,North1,Haryana
68175717,106,5042,-1,2026-01-05,2026,19.09,25.13,15.28,76.48,1,Winter,9.85,South,Hyderabad
68176686,106,5023,-1,2026-01-05,2026,11.92,19.82,5.41,65.96,1,Winter,14.41,North1,Haryana
68174989,106,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68176018,106,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68171958,106,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68174298,106,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68184735,106,5001,-1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68166818,106,5023,-1,2026-01-06,2026,13.16,22.1,7.04,58.06,1,Winter,15.060000000000002,North1,Haryana
68184736,106,5001,-1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68179551,106,5039,-1,2026-01-06,2026,11.39,19.64,4.95,67.46,1,Winter,14.69,North2,Ludhiana
68178594,106,5001,-1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68184801,106,5033,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Lucknow
68184697,106,5041,-1,2026-01-06,2026,20.61,28.68,14.28,67.98,1,Winter,14.4,South,Bangalore
68187371,106,5023,-1,2026-01-07,2026,10.95,18.46,6.25,50.52,1,Winter,12.21,North1,Haryana
68185808,106,5001,-1,2026-01-07,2026,22.69,31.21,16.34,58.89,1,Winter,14.87,West1,Mumbai
68195965,106,5022,-1,2026-01-07,2026,12.7,21.58,6.21,60.95,1,Winter,15.369999999999996,North1,Uttar Pradesh
68195999,106,5021,-1,2026-01-08,2026,10.35,20.2,2.92,50.49,1,Winter,17.28,North1,Delhi
68195620,106,5021,-1,2026-01-08,2026,10.35,20.2,2.92,50.49,1,Winter,17.28,North1,Delhi
68204432,106,5041,-1,2026-01-08,2026,19.21,26.83,13.7,64.07,1,Winter,13.13,South,Bangalore
68206755,106,5030,-1,2026-01-08,2026,10.35,20.2,2.92,50.49,1,Winter,17.28,North1,Delhi
68201484,106,5030,-1,2026-01-08,2026,10.35,20.2,2.92,50.49,1,Winter,17.28,North1,Delhi
68204698,106,5032,-1,2026-01-08,2026,10.74,19.95,3.86,45.76,1,Winter,16.09,North2,Haryana
68205402,106,5061,-1,2026-01-08,2026,19.21,26.83,13.7,64.07,1,Winter,13.13,East,Kolkatta
68205271,106,5001,-1,2026-01-08,2026,21.69,30.57,15.12,58.91,1,Winter,15.45,West1,Mumbai
68209880,106,5041,-1,2026-01-08,2026,19.21,26.83,13.7,64.07,1,Winter,13.13,South,Bangalore
68203822,106,5001,-1,2026-01-08,2026,21.69,30.57,15.12,58.91,1,Winter,15.45,West1,Mumbai
68185756,106,5022,-1,2026-01-09,2026,13.0,21.37,6.85,44.82,1,Winter,14.52,North1,Uttar Pradesh
68214797,106,5001,-1,2026-01-09,2026,21.4,30.52,14.36,57.08,1,Winter,16.16,West1,Mumbai
68205402,106,5061,1,2026-01-09,2026,19.5,27.54,13.59,65.96,1,Winter,13.95,East,Kolkatta
68223586,106,5008,-1,2026-01-10,2026,16.46,26.4,9.39,62.59,1,Winter,17.009999999999998,West2,Nagpur
68221073,106,5030,-1,2026-01-10,2026,12.06,21.97,4.83,49.86,1,Winter,17.14,North1,Delhi
68223501,106,5042,-1,2026-01-10,2026,16.68,22.46,11.6,62.15,1,Winter,10.86,South,Hyderabad
68223190,106,5030,-1,2026-01-10,2026,12.06,21.97,4.83,49.86,1,Winter,17.14,North1,Delhi
68198050,106,5001,-1,2026-01-10,2026,21.45,30.85,14.92,55.09,1,Winter,15.93,West1,Mumbai
68217837,106,5001,-1,2026-01-10,2026,21.45,30.85,14.92,55.09,1,Winter,15.93,West1,Mumbai
68228385,106,5023,-1,2026-01-12,2026,11.41,20.78,2.9,32.51,1,Winter,17.880000000000003,North1,Haryana
68226259,106,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68223982,106,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68227425,106,5021,-1,2026-01-12,2026,11.35,21.02,2.86,41.5,1,Winter,18.16,North1,Delhi
68225990,106,5022,-1,2026-01-12,2026,12.26,21.66,4.38,48.87,1,Winter,17.28,North1,Uttar Pradesh
68229696,106,5010,-1,2026-01-12,2026,24.19,34.74,16.14,36.49,1,Winter,18.6,West2,Surat
68228008,106,5021,-1,2026-01-12,2026,11.35,21.02,2.86,41.5,1,Winter,18.16,North1,Delhi
68227012,106,5023,-1,2026-01-12,2026,11.41,20.78,2.9,32.51,1,Winter,17.880000000000003,North1,Haryana
68227442,106,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68224353,106,5061,-1,2026-01-12,2026,22.16,29.88,16.7,74.32,1,Winter,13.18,East,Kolkatta
68227922,106,5023,-1,2026-01-12,2026,11.41,20.78,2.9,32.51,1,Winter,17.880000000000003,North1,Haryana
68224785,106,5021,-1,2026-01-12,2026,11.35,21.02,2.86,41.5,1,Winter,18.16,North1,Delhi
68226198,106,5011,-1,2026-01-12,2026,24.77,26.82,22.59,61.64,1,Winter,4.23,West1,Virar
68245163,106,5011,-1,2026-01-13,2026,25.16,26.91,23.87,70.41,1,Winter,3.039999999999999,West1,Virar
68243865,106,5023,-1,2026-01-13,2026,11.68,21.12,6.63,36.31,1,Winter,14.490000000000002,North1,Haryana
68235412,106,5021,-1,2026-01-13,2026,11.42,21.31,5.71,43.97,1,Winter,15.599999999999998,North1,Delhi
68233128,106,5021,-1,2026-01-13,2026,11.42,21.31,5.71,43.97,1,Winter,15.599999999999998,North1,Delhi
68236747,106,5023,-1,2026-01-13,2026,11.68,21.12,6.63,36.31,1,Winter,14.490000000000002,North1,Haryana
68232194,106,5021,-1,2026-01-13,2026,11.42,21.31,5.71,43.97,1,Winter,15.599999999999998,North1,Delhi
68189961,106,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68099312,106,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68128941,106,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68228019,106,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68239531,106,5030,-1,2026-01-13,2026,11.42,21.31,5.71,43.97,1,Winter,15.599999999999998,North1,Delhi
68250930,106,5061,1,2026-01-14,2026,23.22,31.01,17.36,65.45,1,Winter,13.650000000000002,East,Kolkatta
59034503,106,5001,-1,2026-01-14,2026,24.46,32.46,18.9,57.88,1,Winter,13.560000000000002,West1,Mumbai
68250930,106,5061,-1,2026-01-14,2026,23.22,31.01,17.36,65.45,1,Winter,13.650000000000002,East,Kolkatta
68247826,106,5041,-1,2026-01-14,2026,23.22,31.01,17.36,65.45,1,Winter,13.650000000000002,South,Bangalore
68251830,106,5039,-1,2026-01-14,2026,10.55,20.36,2.4,47.05,1,Winter,17.96,North2,Ludhiana
68250893,106,5042,-1,2026-01-14,2026,21.45,27.96,17.04,70.81,1,Winter,10.920000000000002,South,Hyderabad
68262887,106,5023,-1,2026-01-15,2026,11.55,22.11,3.42,31.87,1,Winter,18.69,North1,Haryana
68260836,106,5023,-1,2026-01-15,2026,11.55,22.11,3.42,31.87,1,Winter,18.69,North1,Haryana
68260830,106,5023,-1,2026-01-15,2026,11.55,22.11,3.42,31.87,1,Winter,18.69,North1,Haryana
68265719,106,5028,-1,2026-01-15,2026,7.14,16.01,0.84,33.64,1,Winter,15.170000000000002,North1,Uttaranchal
68261410,106,5023,-1,2026-01-15,2026,11.55,22.11,3.42,31.87,1,Winter,18.69,North1,Haryana
68258264,106,5001,-1,2026-01-15,2026,22.68,32.22,15.72,50.45,1,Winter,16.5,West1,Mumbai
68273129,106,5023,-1,2026-01-16,2026,13.17,23.35,6.47,29.43,1,Winter,16.880000000000003,North1,Haryana
68274883,106,5022,-1,2026-01-16,2026,12.95,22.03,4.91,48.94,1,Winter,17.12,North1,Uttar Pradesh
68258880,106,5022,-1,2026-01-16,2026,12.95,22.03,4.91,48.94,1,Winter,17.12,North1,Uttar Pradesh
68269591,106,5022,-1,2026-01-16,2026,12.95,22.03,4.91,48.94,1,Winter,17.12,North1,Uttar Pradesh
68267615,106,5001,-1,2026-01-16,2026,23.19,32.4,16.38,55.74,1,Winter,16.02,West1,Mumbai
68184697,106,5041,1,2026-01-16,2026,21.75,30.33,15.78,59.01,1,Winter,14.55,South,Bangalore
68274923,106,5030,-1,2026-01-16,2026,12.38,22.14,4.24,39.97,1,Winter,17.9,North1,Delhi
68261645,106,5014,-1,2026-01-16,2026,20.08,32.04,10.34,44.8,1,Winter,21.7,West2,Vadodara
68282818,106,5001,-1,2026-01-17,2026,23.34,31.08,18.89,59.83,1,Winter,12.189999999999998,West1,Mumbai
68283028,106,5023,-1,2026-01-17,2026,14.29,24.14,7.82,35.87,1,Winter,16.32,North1,Haryana
68282806,106,5030,-1,2026-01-17,2026,14.76,24.05,9.15,37.69,1,Winter,14.9,North1,Delhi
68283543,106,5021,-1,2026-01-17,2026,14.76,24.05,9.15,37.69,1,Winter,14.9,North1,Delhi
68227425,106,5021,1,2026-01-19,2026,16.69,25.71,8.48,44.84,1,Winter,17.23,North1,Delhi
68288446,106,5001,-1,2026-01-19,2026,20.9,28.63,15.11,69.76,1,Winter,13.52,West1,Mumbai
68288855,106,5030,-1,2026-01-19,2026,16.69,25.71,8.48,44.84,1,Winter,17.23,North1,Delhi
68287993,106,5041,-1,2026-01-19,2026,21.0,31.02,12.89,56.86,1,Winter,18.13,South,Bangalore
68291364,106,5014,-1,2026-01-19,2026,19.56,27.69,13.38,50.3,1,Winter,14.31,West2,Vadodara
68283804,106,5004,-1,2026-01-19,2026,21.76,30.43,15.76,68.43,1,Winter,14.67,West2,Goa
68287549,106,5041,-1,2026-01-19,2026,21.0,31.02,12.89,56.86,1,Winter,18.13,South,Bangalore
68299530,106,5061,-1,2026-01-20,2026,21.09,31.1,13.52,54.49,1,Winter,17.580000000000002,East,Kolkatta
68202029,106,5031,-1,2026-01-20,2026,16.07,23.41,8.23,53.58,1,Winter,15.18,North1,Gwalior
68299191,106,5041,-1,2026-01-20,2026,21.09,31.1,13.52,54.49,1,Winter,17.580000000000002,South,Bangalore
68300045,106,5033,-1,2026-01-20,2026,16.51,25.86,9.54,52.29,1,Winter,16.32,North1,Lucknow
68300529,106,5030,-1,2026-01-20,2026,16.47,25.21,9.45,44.26,1,Winter,15.760000000000002,North1,Delhi
68310659,106,5022,-1,2026-01-21,2026,15.88,25.95,8.84,49.6,1,Winter,17.11,North1,Uttar Pradesh
58172868,106,5022,1,2026-01-21,2026,15.88,25.95,8.84,49.6,1,Winter,17.11,North1,Uttar Pradesh
68311151,106,5021,-1,2026-01-21,2026,15.7,24.59,9.9,43.72,1,Winter,14.69,North1,Delhi
68312082,106,5021,-1,2026-01-21,2026,15.7,24.59,9.9,43.72,1,Winter,14.69,North1,Delhi
68306839,106,5021,-1,2026-01-21,2026,15.7,24.59,9.9,43.72,1,Winter,14.69,North1,Delhi
68309381,106,5001,-1,2026-01-21,2026,22.95,31.84,16.26,62.16,1,Winter,15.579999999999998,West1,Mumbai
68310164,106,5001,-1,2026-01-21,2026,22.95,31.84,16.26,62.16,1,Winter,15.579999999999998,West1,Mumbai
68239531,106,5030,1,2026-01-21,2026,15.7,24.59,9.9,43.72,1,Winter,14.69,North1,Delhi
58850335,106,5003,1,2026-01-21,2026,19.6,27.95,12.32,63.76,1,Winter,15.63,West1,Pune
68309512,106,5001,-1,2026-01-21,2026,22.95,31.84,16.26,62.16,1,Winter,15.579999999999998,West1,Mumbai
68301374,106,5022,-1,2026-01-21,2026,15.88,25.95,8.84,49.6,1,Winter,17.11,North1,Uttar Pradesh
68323477,106,5005,-1,2026-01-22,2026,23.18,31.71,17.05,45.39,1,Winter,14.66,West2,Ahmedabad
68314949,106,5030,-1,2026-01-22,2026,16.36,26.28,9.66,41.93,1,Winter,16.62,North1,Delhi
68320224,106,5022,-1,2026-01-22,2026,16.64,25.72,8.1,49.4,1,Winter,17.619999999999997,North1,Uttar Pradesh
68320291,106,5022,-1,2026-01-23,2026,16.79,25.65,8.84,53.3,1,Winter,16.81,North1,Uttar Pradesh
68306755,106,5022,-1,2026-01-23,2026,16.79,25.65,8.84,53.3,1,Winter,16.81,North1,Uttar Pradesh
68322359,106,5022,-1,2026-01-23,2026,16.79,25.65,8.84,53.3,1,Winter,16.81,North1,Uttar Pradesh
68325929,106,5003,-1,2026-01-23,2026,19.59,27.4,14.75,76.85,1,Winter,12.65,West1,Pune
68331240,106,5041,-1,2026-01-23,2026,20.88,30.65,12.32,57.14,1,Winter,18.33,South,Bangalore
68322337,106,5021,-1,2026-01-23,2026,12.9,14.91,9.05,76.03,1,Winter,5.859999999999999,North1,Delhi
68331302,106,5022,-1,2026-01-23,2026,16.79,25.65,8.84,53.3,1,Winter,16.81,North1,Uttar Pradesh
68331573,106,5001,-1,2026-01-23,2026,22.7,29.37,18.54,76.76,1,Winter,10.830000000000002,West1,Mumbai
68331409,106,5041,-1,2026-01-23,2026,20.88,30.65,12.32,57.14,1,Winter,18.33,South,Bangalore
68325954,106,5010,-1,2026-01-23,2026,22.35,28.82,17.47,63.48,1,Winter,11.35,West2,Surat
68327445,106,5042,-1,2026-01-23,2026,19.28,26.15,13.93,74.4,1,Winter,12.22,South,Hyderabad
68331114,106,5001,-1,2026-01-23,2026,22.7,29.37,18.54,76.76,1,Winter,10.830000000000002,West1,Mumbai
68339876,106,5041,-1,2026-01-24,2026,22.05,29.41,16.19,69.02,1,Winter,13.22,South,Bangalore
68111862,106,5039,-1,2026-01-24,2026,7.64,16.46,0.7,60.66,1,Winter,15.760000000000002,North2,Ludhiana
68331476,106,5022,-1,2026-01-24,2026,17.53,25.17,12.91,61.73,1,Winter,12.260000000000002,North1,Uttar Pradesh
68337903,106,5022,-1,2026-01-24,2026,17.53,25.17,12.91,61.73,1,Winter,12.260000000000002,North1,Uttar Pradesh
68339731,106,5061,-1,2026-01-24,2026,22.05,29.41,16.19,69.02,1,Winter,13.22,East,Kolkatta
68309743,106,5003,-1,2026-01-24,2026,19.08,27.73,12.34,69.95,1,Winter,15.39,West1,Pune
68334597,106,5033,-1,2026-01-24,2026,17.53,25.17,12.91,61.73,1,Winter,12.260000000000002,North1,Lucknow
68339785,106,5022,-1,2026-01-24,2026,17.53,25.17,12.91,61.73,1,Winter,12.260000000000002,North1,Uttar Pradesh
68343614,106,5003,-1,2026-01-26,2026,21.31,28.76,15.35,69.17,1,Winter,13.410000000000002,West1,Pune
