iter	RMSE
0	41.3124642
1	39.88036133
2	38.61622895
3	37.36852085
4	36.24396469
5	35.42543978
6	34.26855707
7	33.24806308
8	32.16210778
9	31.16659455
10	30.40869706
11	29.59849228
12	28.76886782
13	27.86821072
14	27.07731381
15	26.32669755
16	25.66488844
17	25.06144134
18	24.35200552
19	23.72382215
20	23.18178477
21	22.61418531
22	22.10002325
23	21.51229482
24	20.97738353
25	20.52261467
26	20.03882885
27	19.53979422
28	19.11958095
29	18.69152749
30	18.32555559
31	18.004162
32	17.64795362
33	17.27172518
34	16.97422719
35	16.68863039
36	16.35615912
37	16.0287895
38	15.73975931
39	15.43311074
40	15.22326142
41	15.02328492
42	14.81856241
43	14.61929742
44	14.46993752
45	14.24873548
46	14.09665996
47	13.91724467
48	13.70210841
49	13.52238194
50	13.39300036
51	13.24537322
52	13.13286684
53	12.95220614
54	12.78750361
55	12.66721834
56	12.53146837
57	12.42192871
58	12.30074731
59	12.20779805
60	12.08212282
61	11.96514669
62	11.83060339
63	11.76306471
64	11.67074539
65	11.58519374
66	11.50351821
67	11.43552305
68	11.32011639
69	11.25633702
70	11.16686422
71	11.0801158
72	11.01296975
73	10.94622824
74	10.84727556
75	10.79104558
76	10.73485812
77	10.65873608
78	10.61453495
79	10.53079651
80	10.4445042
81	10.39231656
82	10.3114821
83	10.21649254
84	10.1690175
85	10.10921031
86	10.05465211
87	10.01108623
88	9.948114209
89	9.87121036
90	9.824254599
91	9.787224601
92	9.761414871
93	9.707416653
94	9.659948063
95	9.613993859
96	9.567267287
97	9.501417366
98	9.451101332
99	9.419190145
100	9.368173285
101	9.313797671
102	9.280423467
103	9.208726058
104	9.172306347
105	9.138407197
106	9.053596844
107	9.011578071
108	8.945100584
109	8.899194301
110	8.870641392
111	8.833435954
112	8.775633797
113	8.7178078
114	8.679640994
115	8.636546122
116	8.613098705
117	8.560363895
118	8.505409007
119	8.495957731
120	8.456097794
121	8.444372474
122	8.430950851
123	8.355811541
124	8.33005016
125	8.267323491
126	8.257108563
127	8.187222397
128	8.153543464
129	8.129433102
130	8.078898163
131	8.069655298
132	8.059479905
133	8.037137736
134	7.995873044
135	7.9745243
136	7.902936371
137	7.893619754
138	7.866886628
139	7.857407536
140	7.848154095
141	7.839121098
142	7.830303452
143	7.789929931
144	7.779373593
145	7.717837592
146	7.67297405
147	7.617464661
148	7.609238012
149	7.563633174
150	7.539054095
151	7.500076064
152	7.441558804
153	7.397497664
154	7.360361742
155	7.321123995
156	7.277541943
157	7.269665155
158	7.25099342
159	7.222718116
160	7.190628854
161	7.182660866
162	7.145815947
163	7.11014924
164	7.071968306
165	7.06429853
166	7.039296471
167	7.002707949
168	6.995192608
169	6.950179352
170	6.912590767
171	6.877819748
172	6.835052363
173	6.77403011
174	6.748498696
175	6.724002645
176	6.693423143
177	6.661511057
178	6.627116382
179	6.597181937
180	6.540319937
181	6.508274871
182	6.489929203
183	6.458219567
184	6.415136495
185	6.396779987
186	6.379612557
187	6.3730758
188	6.355109499
189	6.303286045
190	6.286581353
191	6.27052553
192	6.255093699
193	6.23747157
194	6.207770873
195	6.186172765
196	6.180054412
197	6.174082586
198	6.159065788
199	6.125283102
