Material,Material Description,SLoc,Quantity,Pstng Date,Tmax,Tmin,RH,Delta_T
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5042,-1,2022-06-13,33.21,24.54,63.67,8.670000000000002
111,SCPU,5001,-1,2022-08-08,27.36,25.43,93.49,1.93
111,SCPU,5001,-1,2022-08-08,27.36,25.43,93.49,1.93
111,SCPU,5001,-1,2022-08-08,27.36,25.43,93.49,1.93
111,SCPU,5023,-1,2022-08-09,32.81,26.25,82.5,6.560000000000002
111,SCPU,5001,-1,2022-08-09,26.77,24.97,93.27,1.8000000000000007
111,SCPU,5023,-1,2022-08-09,32.81,26.25,82.5,6.560000000000002
111,SCPU,5021,-1,2022-08-12,37.64,26.01,61.73,11.63
111,SCPU,5021,-1,2022-08-15,32.87,25.77,72.1,7.099999999999998
111,SCPU,5021,-1,2022-08-15,32.87,25.77,72.1,7.099999999999998
111,SCPU,5023,-1,2022-08-20,32.89,25.69,74.52,7.199999999999999
111,SCPU,5023,-1,2022-08-20,32.89,25.69,74.52,7.199999999999999
111,SCPU,5001,-1,2022-09-23,26.86,23.04,92.24,3.82
111,SCPU,5061,-1,2022-09-30,24.37,19.07,89.82,5.300000000000001
111,SCPU,5061,-1,2022-10-06,25.71,19.86,87.63,5.850000000000001
111,SCPU,5061,-1,2022-10-14,28.78,20.01,84.27,8.77
111,SCPU,5061,-1,2022-10-26,26.41,14.23,71.17,12.18
111,SCPU,5005,-1,2022-11-01,31.87,16.1,64.77,15.77
111,SCPU,5005,-1,2022-11-01,31.87,16.1,64.77,15.77
111,SCPU,5005,-1,2022-11-03,33.67,18.05,48.49,15.62
111,SCPU,5005,-1,2022-11-03,33.67,18.05,48.49,15.62
111,SCPU,5061,-1,2022-11-15,26.65,18.25,87.62,8.399999999999999
111,SCPU,5042,-1,2022-12-12,27.92,19.43,84.63,8.490000000000002
