Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
51067481.0,102,5030,-1,2022-01-04,2022-01-04,2022
51072681.0,102,5041,-1,2022-01-04,2022-01-04,2022
51073140.0,102,5022,-1,2022-01-04,2022-01-04,2022
51077199.0,102,5030,-1,2022-01-04,2022-01-04,2022
51068153.0,102,5030,-1,2022-01-04,2022-01-04,2022
51077119.0,102,5021,-1,2022-01-06,2022-01-06,2022
51073781.0,102,5021,-1,2022-01-06,2022-01-06,2022
51090297.0,102,5030,-1,2022-01-07,2022-01-07,2022
51055061.0,102,5002,-1,2022-01-08,2022-01-08,2022
51070605.0,102,5002,-1,2022-01-08,2022-01-08,2022
51094829.0,102,5042,-1,2022-01-10,2022-01-10,2022
51097355.0,102,5030,-1,2022-01-10,2022-01-10,2022
51069411.0,102,5003,-1,2022-01-11,2022-01-11,2022
51101397.0,102,5003,-1,2022-01-11,2022-01-11,2022
51108123.0,102,5021,-1,2022-01-12,2022-01-12,2022
51106609.0,102,5023,-1,2022-01-12,2022-01-12,2022
51105702.0,102,5001,-4,2022-01-12,2022-01-12,2022
51112874.0,102,5002,-2,2022-01-13,2022-01-13,2022
51112573.0,102,5041,-1,2022-01-13,2022-01-13,2022
51111457.0,102,5001,-2,2022-01-13,2022-01-13,2022
51123039.0,102,5002,-1,2022-01-15,2022-01-15,2022
51125137.0,102,5039,-1,2022-01-17,2022-01-17,2022
51124672.0,102,5001,-2,2022-01-17,2022-01-17,2022
51123996.0,102,5041,-1,2022-01-17,2022-01-17,2022
51046163.0,102,5001,-1,2022-01-18,2022-01-18,2022
51129011.0,102,5030,-1,2022-01-18,2022-01-18,2022
51127994.0,102,5006,-1,2022-01-18,2022-01-18,2022
51131076.0,102,5030,-1,2022-01-18,2022-01-18,2022
51058799.0,102,5001,-5,2022-01-18,2022-01-18,2022
51130087.0,102,5021,-1,2022-01-18,2022-01-18,2022
51015609.0,102,5001,-2,2022-01-18,2022-01-18,2022
51101312.0,102,5001,-4,2022-01-18,2022-01-18,2022
51058874.0,102,5001,-1,2022-01-18,2022-01-18,2022
51122971.0,102,5032,-1,2022-01-18,2022-01-18,2022
51046183.0,102,5001,-6,2022-01-18,2022-01-18,2022
51071584.0,102,5001,-2,2022-01-18,2022-01-18,2022
51130961.0,102,5061,-1,2022-01-18,2022-01-18,2022
51130961.0,102,5061,1,2022-01-19,2022-01-19,2022
51112236.0,102,5001,-1,2022-01-19,2022-01-19,2022
51108419.0,102,5001,-2,2022-01-19,2022-01-19,2022
51136549.0,102,5002,-2,2022-01-19,2022-01-19,2022
51136097.0,102,5061,-1,2022-01-19,2022-01-19,2022
51107820.0,102,5001,-2,2022-01-19,2022-01-19,2022
51108475.0,102,5001,-2,2022-01-19,2022-01-19,2022
51140700.0,102,5030,-1,2022-01-20,2022-01-20,2022
51111085.0,102,5042,-1,2022-01-20,2022-01-20,2022
51139927.0,102,5041,-2,2022-01-20,2022-01-20,2022
50547456.0,102,5042,-1,2022-01-20,2022-01-20,2022
51150105.0,102,5002,-2,2022-01-22,2022-01-22,2022
51151471.0,102,5041,-1,2022-01-24,2022-01-24,2022
51153649.0,102,5021,-1,2022-01-24,2022-01-24,2022
51157956.0,102,5010,-1,2022-01-25,2022-01-25,2022
51154385.0,102,5030,-1,2022-01-25,2022-01-25,2022
51157710.0,102,5002,-1,2022-01-25,2022-01-25,2022
51167843.0,102,5003,-2,2022-01-27,2022-01-27,2022
51168594.0,102,5030,-1,2022-01-27,2022-01-27,2022
51160521.0,102,5030,-2,2022-01-27,2022-01-27,2022
