Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
57439947.0,104,5042,-1,2025-01-04,2025-01-04,2025
57492252.0,104,5028,-1,2025-01-09,2025-01-09,2025
57442690.0,104,5028,1,2025-01-11,2025-01-11,2025
57515203.0,104,5005,-1,2025-01-13,2025-01-13,2025
57507873.0,104,5033,-1,2025-01-13,2025-01-13,2025
57536660.0,104,5041,-1,2025-01-15,2025-01-15,2025
57536233.0,104,5041,-1,2025-01-15,2025-01-15,2025
57543975.0,104,5023,-1,2025-01-16,2025-01-16,2025
57531373.0,104,5001,-2,2025-01-16,2025-01-16,2025
57545292.0,104,5028,-1,2025-01-16,2025-01-16,2025
57543915.0,104,5042,-1,2025-01-16,2025-01-16,2025
57546788.0,104,5041,-1,2025-01-17,2025-01-17,2025
57536660.0,104,5041,1,2025-01-18,2025-01-18,2025
57546788.0,104,5041,1,2025-01-18,2025-01-18,2025
55271521.0,104,5020,1,2025-01-20,2025-01-20,2025
57586731.0,104,5003,-1,2025-01-23,2025-01-23,2025
57602706.0,104,5003,-1,2025-01-24,2025-01-24,2025
57600374.0,104,5001,-1,2025-01-24,2025-01-24,2025
57604178.0,104,5033,-1,2025-01-25,2025-01-25,2025
57604364.0,104,5003,-1,2025-01-25,2025-01-25,2025
57610304.0,104,5028,-1,2025-01-25,2025-01-25,2025
57613225.0,104,5042,-1,2025-01-27,2025-01-27,2025
57622289.0,104,5003,-1,2025-01-29,2025-01-29,2025
57493620.0,104,5005,-1,2025-01-29,2025-01-29,2025
57645942.0,104,5033,-1,2025-01-31,2025-01-31,2025
57654611.0,104,5041,-1,2025-02-03,2025-02-03,2025
57658353.0,104,5023,-1,2025-02-03,2025-02-03,2025
57585528.0,104,5005,-1,2025-02-03,2025-02-03,2025
57659158.0,104,5003,-1,2025-02-04,2025-02-04,2025
57702554.0,104,5001,-1,2025-02-10,2025-02-10,2025
57717336.0,104,5041,-1,2025-02-12,2025-02-12,2025
57744856.0,104,5023,-1,2025-02-14,2025-02-14,2025
57745574.0,104,5041,-1,2025-02-15,2025-02-15,2025
57887749.0,104,5003,-1,2025-03-06,2025-03-06,2025
