Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
53033771.0,105,5041,-1,2023-02-13,2023,21.99,32.21,13.87,49.12,2,Winter,18.340000000000003,South,Bangalore
53074406.0,105,5030,-1,2023-02-27,2023,23.2,32.36,17.19,36.6,2,Winter,15.169999999999998,North1,Delhi
53074420.0,105,5030,-1,2023-02-27,2023,23.2,32.36,17.19,36.6,2,Winter,15.169999999999998,North1,Delhi
51738216.0,105,5028,-1,2023-03-13,2023,14.86,21.76,10.11,51.81,3,Summer,11.650000000000002,North1,Uttaranchal
52817347.0,105,5005,-1,2023-03-28,2023,27.67,36.75,18.68,31.39,3,Summer,18.07,West2,Ahmedabad
53692140.0,105,5042,-1,2023-05-31,2023,31.96,38.16,26.08,48.75,5,Summer,12.079999999999998,South,Hyderabad
53746643.0,105,5041,-1,2023-06-09,2023,26.07,32.12,21.47,69.63,6,Summer,10.65,South,Bangalore
53895030.0,105,5002,-1,2023-07-03,2023,27.63,29.48,26.14,89.9,7,Monsoon,3.34,West1,Navi Mumbai
53968030.0,105,5042,-1,2023-07-13,2023,26.36,31.34,22.04,73.52,7,Monsoon,9.3,South,Hyderabad
53975638.0,105,5042,-1,2023-07-14,2023,27.9,33.89,22.61,68.9,7,Monsoon,11.28,South,Hyderabad
54116364.0,105,5064,-1,2023-08-07,2023,29.39,34.47,25.27,84.58,8,Monsoon,9.2,East,Guwahati
54194075.0,105,5001,-1,2023-08-24,2023,26.7,29.25,24.61,89.74,8,Monsoon,4.640000000000001,West1,Mumbai
54214623.0,105,5001,-1,2023-08-24,2023,26.7,29.25,24.61,89.74,8,Monsoon,4.640000000000001,West1,Mumbai
,105,5020,-1,2023-08-26,2023,23.85,27.1,21.88,90.42,8,Monsoon,5.220000000000002,West1,Pune
54281059.0,105,5001,-1,2023-09-04,2023,26.06,29.39,23.92,87.53,9,Monsoon,5.469999999999999,West1,Mumbai
54290026.0,105,5001,-1,2023-09-05,2023,26.16,29.76,23.55,86.33,9,Monsoon,6.210000000000001,West1,Mumbai
54279642.0,105,5001,-1,2023-09-05,2023,26.16,29.76,23.55,86.33,9,Monsoon,6.210000000000001,West1,Mumbai
54298315.0,105,5001,-1,2023-09-06,2023,26.25,29.32,23.53,88.92,9,Monsoon,5.789999999999999,West1,Mumbai
54297647.0,105,5001,-1,2023-09-06,2023,26.25,29.32,23.53,88.92,9,Monsoon,5.789999999999999,West1,Mumbai
54313366.0,105,5001,-1,2023-09-14,2023,26.48,29.35,24.03,87.4,9,Monsoon,5.32,West1,Mumbai
54570672.0,105,5003,-1,2023-10-21,2023,23.7,28.29,20.39,81.07,10,Post-Monsoon,7.899999999999999,West1,Pune
53642164.0,105,5033,-1,2023-11-04,2023,24.19,31.06,17.65,50.43,11,Post-Monsoon,13.41,North1,Lucknow
53641767.0,105,5033,-1,2023-11-08,2023,22.95,30.36,16.7,46.29,11,Post-Monsoon,13.66,North1,Lucknow
53642164.0,105,5033,1,2023-11-30,2023,18.36,22.02,16.38,79.79,11,Post-Monsoon,5.640000000000001,North1,Lucknow
54868966.0,105,5042,-1,2023-12-08,2023,21.94,28.64,16.88,74.12,12,Winter,11.760000000000002,South,Hyderabad
53908181.0,105,5042,-1,2023-12-16,2023,20.25,27.4,14.28,70.33,12,Winter,13.12,South,Hyderabad
54924009.0,105,5064,-1,2023-12-20,2023,15.19,23.19,9.19,75.68,12,Winter,14.000000000000002,East,Guwahati
54958665.0,105,5033,-1,2023-12-21,2023,13.93,20.96,8.35,46.04,12,Winter,12.61,North1,Lucknow
54959039.0,105,5033,-1,2023-12-21,2023,13.93,20.96,8.35,46.04,12,Winter,12.61,North1,Lucknow
54960026.0,105,5033,-1,2023-12-21,2023,13.93,20.96,8.35,46.04,12,Winter,12.61,North1,Lucknow
54967154.0,105,5033,-1,2023-12-22,2023,14.97,21.19,12.04,47.03,12,Winter,9.150000000000002,North1,Lucknow
