Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
53033771.0,105,5041,-1,2023-02-13,2023-02-13,2023
53074406.0,105,5030,-1,2023-02-27,2023-02-27,2023
53074420.0,105,5030,-1,2023-02-27,2023-02-27,2023
51738216.0,105,5028,-1,2023-03-13,2023-03-13,2023
52817347.0,105,5005,-1,2023-03-28,2023-03-28,2023
53692140.0,105,5042,-1,2023-05-31,2023-05-31,2023
53746643.0,105,5041,-1,2023-06-09,2023-06-09,2023
53895030.0,105,5002,-1,2023-07-03,2023-07-03,2023
53968030.0,105,5042,-1,2023-07-13,2023-07-13,2023
53975638.0,105,5042,-1,2023-07-14,2023-07-14,2023
54116364.0,105,5064,-1,2023-08-07,2023-08-07,2023
54194075.0,105,5001,-1,2023-08-24,2023-08-24,2023
54214623.0,105,5001,-1,2023-08-24,2023-08-24,2023
,105,5020,-1,2023-08-26,2023-08-26,2023
54281059.0,105,5001,-1,2023-09-04,2023-09-04,2023
54290026.0,105,5001,-1,2023-09-05,2023-09-05,2023
54279642.0,105,5001,-1,2023-09-05,2023-09-05,2023
54298315.0,105,5001,-1,2023-09-06,2023-09-06,2023
54297647.0,105,5001,-1,2023-09-06,2023-09-06,2023
54313366.0,105,5001,-1,2023-09-14,2023-09-14,2023
54570672.0,105,5003,-1,2023-10-21,2023-10-21,2023
53642164.0,105,5033,-1,2023-11-04,2023-11-04,2023
53641767.0,105,5033,-1,2023-11-08,2023-11-08,2023
53642164.0,105,5033,1,2023-11-30,2023-11-30,2023
54868966.0,105,5042,-1,2023-12-08,2023-12-08,2023
53908181.0,105,5042,-1,2023-12-16,2023-12-16,2023
54924009.0,105,5064,-1,2023-12-20,2023-12-20,2023
54958665.0,105,5033,-1,2023-12-21,2023-12-21,2023
54959039.0,105,5033,-1,2023-12-21,2023-12-21,2023
54960026.0,105,5033,-1,2023-12-21,2023-12-21,2023
54967154.0,105,5033,-1,2023-12-22,2023-12-22,2023
