Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
56859133.0,103,5041,-1,2025-01-02,2025-01-02,2025
57264315.0,103,5041,2,2025-01-02,2025-01-02,2025
56848689.0,103,5041,-1,2025-01-02,2025-01-02,2025
56859133.0,103,5041,1,2025-01-02,2025-01-02,2025
56848689.0,103,5041,1,2025-01-02,2025-01-02,2025
57264315.0,103,5041,-2,2025-01-02,2025-01-02,2025
57455330.0,103,5041,-2,2025-01-04,2025-01-04,2025
56859133.0,103,5041,-1,2025-01-04,2025-01-04,2025
57465289.0,103,5022,-1,2025-01-04,2025-01-04,2025
57264315.0,103,5041,-2,2025-01-04,2025-01-04,2025
56848689.0,103,5041,-1,2025-01-04,2025-01-04,2025
57470916.0,103,5063,-2,2025-01-06,2025-01-06,2025
57470865.0,103,5063,-2,2025-01-06,2025-01-06,2025
57453495.0,103,5021,-1,2025-01-06,2025-01-06,2025
57453492.0,103,5021,-1,2025-01-06,2025-01-06,2025
57466890.0,103,5021,-1,2025-01-06,2025-01-06,2025
57425752.0,103,5021,1,2025-01-06,2025-01-06,2025
57461055.0,103,5043,-1,2025-01-06,2025-01-06,2025
57469951.0,103,5021,-1,2025-01-06,2025-01-06,2025
57458639.0,103,5021,-1,2025-01-06,2025-01-06,2025
57476346.0,103,5001,-5,2025-01-07,2025-01-07,2025
57453495.0,103,5021,1,2025-01-07,2025-01-07,2025
57478917.0,103,5021,-1,2025-01-07,2025-01-07,2025
57479958.0,103,5021,-2,2025-01-07,2025-01-07,2025
57434068.0,103,5042,-2,2025-01-07,2025-01-07,2025
57477534.0,103,5021,-2,2025-01-07,2025-01-07,2025
57434053.0,103,5042,-2,2025-01-07,2025-01-07,2025
57476947.0,103,5021,-1,2025-01-07,2025-01-07,2025
57434046.0,103,5042,-2,2025-01-07,2025-01-07,2025
57467214.0,103,5025,-1,2025-01-07,2025-01-07,2025
57434075.0,103,5042,-2,2025-01-07,2025-01-07,2025
57361745.0,103,509A,-1,2025-01-08,2025-01-08,2025
57490246.0,103,5041,-4,2025-01-08,2025-01-08,2025
57488686.0,103,5001,-3,2025-01-08,2025-01-08,2025
57488457.0,103,5021,-1,2025-01-08,2025-01-08,2025
