Material,Material Description,SLoc,Quantity,Pstng Date,Tmax,Tmin,RH,Delta_T,Month,Season,Region
111,SCPU,5001,-1,2020-01-10,29.66,15.59,70.68,14.07,1,Winter,West1
111,SCPU,5002,-1,2020-01-20,32.04,16.56,66.98,15.48,1,Winter,West1
111,SCPU,5001,-1,2020-01-20,32.04,16.56,66.98,15.48,1,Winter,West1
111,SCPU,5011,-1,2020-01-21,25.31,22.82,68.22,2.4899999999999984,1,Winter,West1
111,SCPU,5002,-1,2020-01-22,32.37,17.49,62.57,14.88,1,Winter,West1
111,SCPU,5002,-1,2020-01-24,33.15,18.2,62.58,14.95,1,Winter,West1
111,SCPU,5011,-1,2020-01-24,26.47,21.47,75.58,5.0,1,Winter,West1
111,SCPU,5002,-1,2020-01-27,30.42,19.45,59.93,10.970000000000002,1,Winter,West1
111,SCPU,5001,-1,2020-01-27,30.42,19.45,59.93,10.970000000000002,1,Winter,West1
111,SCPU,5011,-1,2020-01-28,23.1,22.55,76.52,0.5500000000000007,1,Winter,West1
111,SCPU,5011,-1,2020-01-28,23.1,22.55,76.52,0.5500000000000007,1,Winter,West1
111,SCPU,5011,-1,2020-01-28,23.1,22.55,76.52,0.5500000000000007,1,Winter,West1
111,SCPU,5002,-1,2020-02-03,29.64,17.06,70.32,12.580000000000002,2,Winter,West1
111,SCPU,5002,-1,2020-02-15,34.26,18.85,45.4,15.409999999999997,2,Winter,West1
111,SCPU,5023,-1,2020-02-19,29.49,8.92,27.2,20.57,2,Winter,North1
111,SCPU,5001,-1,2020-02-24,36.31,19.54,39.48,16.770000000000003,2,Winter,West1
111,SCPU,5001,-1,2020-02-27,37.35,19.13,31.62,18.22,2,Winter,West1
111,SCPU,5001,-1,2020-03-05,32.46,18.74,64.01,13.720000000000002,3,Summer,West1
111,SCPU,5001,-1,2020-03-06,30.85,20.59,65.33,10.260000000000002,3,Summer,West1
111,SCPU,5001,-1,2020-03-09,32.51,20.02,57.32,12.489999999999998,3,Summer,West1
111,SCPU,5002,-1,2020-03-09,32.51,20.02,57.32,12.489999999999998,3,Summer,West1
111,SCPU,5001,-1,2020-05-13,39.35,25.97,58.52,13.380000000000004,5,Summer,West1
111,SCPU,5001,-1,2020-06-05,32.92,24.62,76.93,8.3,6,Summer,West1
111,SCPU,5001,-1,2020-06-08,32.56,24.59,71.22,7.970000000000002,6,Summer,West1
111,SCPU,5042,-1,2020-07-04,26.38,22.08,84.91,4.300000000000001,7,Monsoon,South
111,SCPU,5001,-1,2020-07-08,29.76,25.57,88.53,4.190000000000001,7,Monsoon,West1
111,SCPU,5001,-1,2020-07-13,29.21,24.67,91.91,4.539999999999999,7,Monsoon,West1
111,SCPU,5002,-1,2020-08-03,29.0,25.87,92.7,3.129999999999999,8,Monsoon,West1
111,SCPU,5002,-1,2020-10-03,31.12,24.59,87.85,6.530000000000001,10,Post-Monsoon,West1
111,SCPU,5001,-2,2020-10-05,30.66,24.04,86.64,6.620000000000001,10,Post-Monsoon,West1
111,SCPU,5001,-1,2020-10-10,31.31,25.4,79.14,5.91,10,Post-Monsoon,West1
111,SCPU,5001,-1,2020-10-14,30.78,25.71,86.27,5.07,10,Post-Monsoon,West1
111,SCPU,5001,-1,2020-10-24,30.76,24.74,77.31,6.020000000000003,10,Post-Monsoon,West1
111,SCPU,5002,-1,2020-10-28,31.68,21.49,70.26,10.19,10,Post-Monsoon,West1
111,SCPU,5002,-1,2020-11-05,31.31,19.72,72.04,11.59,11,Post-Monsoon,West1
111,SCPU,5042,-1,2020-11-07,27.32,18.8,88.92,8.52,11,Post-Monsoon,South
111,SCPU,5002,-1,2020-11-09,30.88,17.93,69.01,12.95,11,Post-Monsoon,West1
111,SCPU,5001,-1,2020-12-09,30.58,17.77,69.45,12.81,12,Winter,West1
111,SCPU,5001,-1,2020-12-09,30.58,17.77,69.45,12.81,12,Winter,West1
111,SCPU,5001,-1,2020-12-09,30.58,17.77,69.45,12.81,12,Winter,West1
111,SCPU,5001,-1,2020-12-11,28.18,22.17,79.62,6.009999999999998,12,Winter,West1
111,SCPU,5064,-1,2020-12-23,23.14,10.18,81.79,12.96,12,Winter,East
111,SCPU,5063,-1,2020-12-23,23.65,8.93,65.41,14.72,12,Winter,East
