Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
68162363.0,104,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68171946.0,104,5022,-1,2026-01-05,2026,11.66,19.2,5.28,69.15,1,Winter,13.919999999999998,North1,Uttar Pradesh
68176018.0,104,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68176686.0,104,5023,-1,2026-01-05,2026,11.92,19.82,5.41,65.96,1,Winter,14.41,North1,Haryana
68174298.0,104,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68184801.0,104,5033,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Lucknow
68184697.0,104,5041,-1,2026-01-06,2026,20.61,28.68,14.28,67.98,1,Winter,14.4,South,Bangalore
68185101.0,104,5041,-1,2026-01-06,2026,20.61,28.68,14.28,67.98,1,Winter,14.4,South,Bangalore
68194037.0,104,5021,-1,2026-01-07,2026,11.17,19.08,5.83,57.5,1,Winter,13.249999999999998,North1,Delhi
68193463.0,104,5030,-1,2026-01-07,2026,11.17,19.08,5.83,57.5,1,Winter,13.249999999999998,North1,Delhi
68204698.0,104,5032,-1,2026-01-08,2026,10.74,19.95,3.86,45.76,1,Winter,16.09,North2,Haryana
68189930.0,104,5003,-1,2026-01-08,2026,18.07,26.13,11.62,51.78,1,Winter,14.51,West1,Pune
68204392.0,104,5022,-1,2026-01-08,2026,12.3,21.08,5.13,53.25,1,Winter,15.95,North1,Uttar Pradesh
68194305.0,104,5023,-1,2026-01-08,2026,10.74,19.95,3.86,45.76,1,Winter,16.09,North1,Haryana
68203783.0,104,5023,-1,2026-01-08,2026,10.74,19.95,3.86,45.76,1,Winter,16.09,North1,Haryana
68138628.0,104,5003,-2,2026-01-08,2026,18.07,26.13,11.62,51.78,1,Winter,14.51,West1,Pune
68175864.0,104,5022,-1,2026-01-09,2026,13.0,21.37,6.85,44.82,1,Winter,14.52,North1,Uttar Pradesh
68183812.0,104,5022,-1,2026-01-09,2026,13.0,21.37,6.85,44.82,1,Winter,14.52,North1,Uttar Pradesh
68214680.0,104,5030,-1,2026-01-09,2026,12.16,21.35,4.6,44.42,1,Winter,16.75,North1,Delhi
68216423.0,104,5001,-1,2026-01-09,2026,21.4,30.52,14.36,57.08,1,Winter,16.16,West1,Mumbai
68205271.0,104,5001,-1,2026-01-09,2026,21.4,30.52,14.36,57.08,1,Winter,16.16,West1,Mumbai
68185808.0,104,5001,-1,2026-01-09,2026,21.4,30.52,14.36,57.08,1,Winter,16.16,West1,Mumbai
68171570.0,104,5001,-1,2026-01-10,2026,21.45,30.85,14.92,55.09,1,Winter,15.93,West1,Mumbai
68144391.0,104,5001,-1,2026-01-10,2026,21.45,30.85,14.92,55.09,1,Winter,15.93,West1,Mumbai
68144360.0,104,5001,-1,2026-01-10,2026,21.45,30.85,14.92,55.09,1,Winter,15.93,West1,Mumbai
68223501.0,104,5042,-1,2026-01-10,2026,16.68,22.46,11.6,62.15,1,Winter,10.86,South,Hyderabad
68223647.0,104,5008,-1,2026-01-10,2026,16.46,26.4,9.39,62.59,1,Winter,17.009999999999998,West2,Nagpur
68174156.0,104,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68226259.0,104,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68165729.0,104,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68227922.0,104,5023,-1,2026-01-12,2026,11.41,20.78,2.9,32.51,1,Winter,17.880000000000003,North1,Haryana
68225995.0,104,5022,-1,2026-01-12,2026,12.26,21.66,4.38,48.87,1,Winter,17.28,North1,Uttar Pradesh
68227442.0,104,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68223425.0,104,5022,-1,2026-01-12,2026,12.26,21.66,4.38,48.87,1,Winter,17.28,North1,Uttar Pradesh
68184736.0,104,5001,-1,2026-01-12,2026,23.68,32.3,16.84,58.72,1,Winter,15.459999999999996,West1,Mumbai
68228385.0,104,5023,-1,2026-01-12,2026,11.41,20.78,2.9,32.51,1,Winter,17.880000000000003,North1,Haryana
68099312.0,104,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68128941.0,104,5022,-1,2026-01-13,2026,11.89,21.83,4.74,50.72,1,Winter,17.089999999999996,North1,Uttar Pradesh
68235412.0,104,5021,-1,2026-01-13,2026,11.42,21.31,5.71,43.97,1,Winter,15.599999999999998,North1,Delhi
