Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
57455118,101,5030,-1,2025-01-04,2025-01-04,2025
57455915,101,5030,-1,2025-01-04,2025-01-04,2025
57466870,101,5063,-1,2025-01-04,2025-01-04,2025
57453524,101,5001,-1,2025-01-04,2025-01-04,2025
57436305,101,5023,-2,2025-01-06,2025-01-06,2025
57471135,101,5030,-1,2025-01-06,2025-01-06,2025
57461455,101,5021,-1,2025-01-06,2025-01-06,2025
57454702,101,5021,-1,2025-01-06,2025-01-06,2025
57436315,101,5023,-1,2025-01-06,2025-01-06,2025
57454707,101,5021,-1,2025-01-06,2025-01-06,2025
57471156,101,5030,-1,2025-01-06,2025-01-06,2025
57445243,101,5023,-1,2025-01-06,2025-01-06,2025
57455013,101,5023,-1,2025-01-06,2025-01-06,2025
57469760,101,5021,-1,2025-01-06,2025-01-06,2025
57466857,101,5021,-1,2025-01-06,2025-01-06,2025
57466785,101,5021,-1,2025-01-06,2025-01-06,2025
57454703,101,5021,-1,2025-01-06,2025-01-06,2025
57469621,101,5030,-1,2025-01-06,2025-01-06,2025
57470982,101,5041,-1,2025-01-06,2025-01-06,2025
57445872,101,5030,-1,2025-01-06,2025-01-06,2025
57454771,101,5021,-1,2025-01-06,2025-01-06,2025
57454973,101,5029,-1,2025-01-06,2025-01-06,2025
57468899,101,5022,-1,2025-01-06,2025-01-06,2025
57466891,101,5021,-1,2025-01-06,2025-01-06,2025
57467393,101,5030,-1,2025-01-06,2025-01-06,2025
57469439,101,5021,-1,2025-01-06,2025-01-06,2025
57482135,101,5021,-1,2025-01-07,2025-01-07,2025
57479859,101,5021,-1,2025-01-07,2025-01-07,2025
57476642,101,5021,-1,2025-01-07,2025-01-07,2025
57479109,101,5021,-1,2025-01-07,2025-01-07,2025
57480363,101,5030,-1,2025-01-07,2025-01-07,2025
57476671,101,5021,-1,2025-01-07,2025-01-07,2025
57410661,101,5021,1,2025-01-07,2025-01-07,2025
57476688,101,5021,-1,2025-01-07,2025-01-07,2025
57474635,101,5030,-1,2025-01-07,2025-01-07,2025
57486870,101,5021,-1,2025-01-08,2025-01-08,2025
57488924,101,5030,-1,2025-01-08,2025-01-08,2025
57490901,101,5032,-1,2025-01-09,2025-01-09,2025
57498204,101,5029,-1,2025-01-09,2025-01-09,2025
57507772,101,5021,-1,2025-01-10,2025-01-10,2025
57507693,101,5029,-1,2025-01-10,2025-01-10,2025
57508994,101,5030,-1,2025-01-10,2025-01-10,2025
57370851,101,5021,-1,2025-01-10,2025-01-10,2025
57509036,101,5010,-1,2025-01-10,2025-01-10,2025
57506754,101,5021,-1,2025-01-10,2025-01-10,2025
57509360,101,5030,-1,2025-01-10,2025-01-10,2025
57498521,101,5021,-1,2025-01-11,2025-01-11,2025
57515599,101,5021,-1,2025-01-11,2025-01-11,2025
57499084,101,5010,-1,2025-01-11,2025-01-11,2025
57514944,101,5021,-1,2025-01-11,2025-01-11,2025
57515573,101,5021,-1,2025-01-11,2025-01-11,2025
57514794,101,5021,-1,2025-01-11,2025-01-11,2025
57478496,101,5021,-1,2025-01-13,2025-01-13,2025
57489315,101,5021,-1,2025-01-13,2025-01-13,2025
57518933,101,5021,-1,2025-01-13,2025-01-13,2025
57517446,101,5021,-1,2025-01-13,2025-01-13,2025
57518358,101,5041,-1,2025-01-13,2025-01-13,2025
57518167,101,5021,-1,2025-01-13,2025-01-13,2025
57519050,101,5023,-1,2025-01-13,2025-01-13,2025
57518132,101,5023,-1,2025-01-13,2025-01-13,2025
57486870,101,5021,1,2025-01-13,2025-01-13,2025
57517441,101,5021,-1,2025-01-13,2025-01-13,2025
57528174,101,5001,-2,2025-01-14,2025-01-14,2025
57535485,101,5030,-1,2025-01-15,2025-01-15,2025
57535868,101,5030,-1,2025-01-15,2025-01-15,2025
57535732,101,5021,-1,2025-01-16,2025-01-16,2025
57543841,101,5023,-1,2025-01-16,2025-01-16,2025
57546494,101,5030,-1,2025-01-16,2025-01-16,2025
57469439,101,5021,1,2025-01-16,2025-01-16,2025
57521638,101,5021,-1,2025-01-16,2025-01-16,2025
57535021,101,5021,-2,2025-01-16,2025-01-16,2025
57544327,101,5021,-1,2025-01-16,2025-01-16,2025
57543682,101,5030,-1,2025-01-16,2025-01-16,2025
57515573,101,5021,1,2025-01-17,2025-01-17,2025
57552892,101,5032,-1,2025-01-17,2025-01-17,2025
57399917,101,5021,-1,2025-01-17,2025-01-17,2025
57399968,101,5021,-1,2025-01-17,2025-01-17,2025
57552905,101,5032,-1,2025-01-17,2025-01-17,2025
57552991,101,5029,-1,2025-01-17,2025-01-17,2025
57552918,101,5021,-1,2025-01-17,2025-01-17,2025
57553809,101,5043,-1,2025-01-17,2025-01-17,2025
57553015,101,5030,-1,2025-01-17,2025-01-17,2025
57510919,101,5010,-1,2025-01-17,2025-01-17,2025
57561533,101,5030,-1,2025-01-18,2025-01-18,2025
57560697,101,5030,-1,2025-01-18,2025-01-18,2025
57560638,101,5021,-1,2025-01-18,2025-01-18,2025
57561741,101,5061,-1,2025-01-18,2025-01-18,2025
57560956,101,5029,-1,2025-01-18,2025-01-18,2025
57564400,101,5023,-1,2025-01-20,2025-01-20,2025
57564742,101,5021,-1,2025-01-20,2025-01-20,2025
57561306,101,5029,-1,2025-01-20,2025-01-20,2025
57563031,101,5023,-1,2025-01-20,2025-01-20,2025
57565351,101,5023,-1,2025-01-20,2025-01-20,2025
57536589,101,5023,-1,2025-01-20,2025-01-20,2025
57566157,101,5023,-1,2025-01-20,2025-01-20,2025
57569819,101,5023,-1,2025-01-20,2025-01-20,2025
57563792,101,5021,-1,2025-01-20,2025-01-20,2025
57566191,101,5043,-1,2025-01-20,2025-01-20,2025
57561518,101,5021,-1,2025-01-20,2025-01-20,2025
57564754,101,5021,-1,2025-01-20,2025-01-20,2025
57567370,101,5021,-1,2025-01-20,2025-01-20,2025
57561514,101,5021,-1,2025-01-20,2025-01-20,2025
57577341,101,5021,-1,2025-01-21,2025-01-21,2025
57574710,101,5021,-1,2025-01-21,2025-01-21,2025
57574642,101,5030,-1,2025-01-21,2025-01-21,2025
57515919,101,5023,-1,2025-01-21,2025-01-21,2025
57574666,101,5021,-1,2025-01-21,2025-01-21,2025
57583815,101,5021,-1,2025-01-22,2025-01-22,2025
57583912,101,5021,-1,2025-01-22,2025-01-22,2025
57583895,101,5021,-3,2025-01-22,2025-01-22,2025
57583717,101,5029,-1,2025-01-22,2025-01-22,2025
57583653,101,5029,-1,2025-01-22,2025-01-22,2025
57584014,101,5001,-2,2025-01-23,2025-01-23,2025
57595231,101,5030,-1,2025-01-23,2025-01-23,2025
57592993,101,5029,-1,2025-01-23,2025-01-23,2025
57591385,101,5021,-1,2025-01-23,2025-01-23,2025
57602271,101,5030,-1,2025-01-24,2025-01-24,2025
57599279,101,5030,-1,2025-01-24,2025-01-24,2025
57605692,101,5043,-1,2025-01-24,2025-01-24,2025
57568788,101,5043,-1,2025-01-24,2025-01-24,2025
57612254,101,5021,-1,2025-01-27,2025-01-27,2025
57612661,101,5021,-1,2025-01-27,2025-01-27,2025
57612684,101,5021,-1,2025-01-27,2025-01-27,2025
57577834,101,5001,-2,2025-01-27,2025-01-27,2025
57613006,101,5029,-1,2025-01-28,2025-01-28,2025
57484496,101,5043,-1,2025-01-28,2025-01-28,2025
57561514,101,5021,1,2025-01-28,2025-01-28,2025
57621815,101,5021,-1,2025-01-28,2025-01-28,2025
57623602,101,5021,-1,2025-01-28,2025-01-28,2025
57616032,101,5021,-1,2025-01-28,2025-01-28,2025
