iter	Passed	Remaining
0	0	71
1	0	61
2	0	57
3	1	56
4	1	52
5	1	50
6	1	48
7	1	47
8	2	51
9	2	52
10	3	51
11	3	51
12	3	49
13	3	48
14	3	48
15	4	47
16	4	46
17	4	46
18	4	45
19	4	44
20	5	44
21	5	43
22	5	43
23	5	42
24	5	41
25	6	42
26	6	42
27	6	41
28	7	41
29	7	41
30	7	40
31	7	40
32	7	39
33	8	39
34	8	39
35	8	39
36	8	38
37	9	39
38	9	39
39	9	38
40	9	38
41	10	38
42	10	38
43	10	37
44	10	37
45	11	36
46	11	36
47	11	36
48	11	35
49	11	35
50	12	35
51	12	34
52	12	34
53	12	34
54	12	33
55	13	33
56	13	33
57	13	32
58	13	32
59	13	32
60	14	32
61	14	32
62	14	32
63	15	32
64	15	31
65	15	31
66	15	31
67	16	31
68	16	30
69	16	30
70	16	30
71	16	30
72	17	29
73	17	29
74	17	29
75	17	29
76	18	28
77	18	28
78	18	28
79	18	28
80	19	28
81	19	27
82	19	27
83	19	27
84	20	27
85	20	27
86	20	26
87	21	26
88	21	26
89	21	26
90	21	26
91	22	25
92	22	25
93	22	25
94	22	25
95	23	25
96	23	24
97	23	24
98	23	24
99	24	24
100	24	23
101	24	23
102	24	23
103	24	23
104	25	22
105	25	22
106	25	22
107	25	22
108	26	21
109	26	21
110	26	21
111	27	21
112	27	21
113	27	20
114	27	20
115	28	20
116	28	20
117	28	19
118	28	19
119	29	19
120	29	19
121	29	19
122	30	18
123	30	18
124	30	18
125	31	18
126	31	18
127	31	17
128	32	17
129	32	17
130	32	17
131	32	16
132	33	16
133	33	16
134	33	16
135	33	15
136	34	15
137	34	15
138	34	15
139	34	14
140	35	14
141	35	14
142	35	14
143	35	13
144	36	13
145	36	13
146	36	13
147	36	12
148	36	12
149	37	12
150	37	12
151	37	11
152	38	11
153	38	11
154	38	11
155	38	10
156	39	10
157	39	10
158	39	10
159	39	9
160	40	9
161	40	9
162	40	9
163	40	8
164	41	8
165	41	8
166	41	8
167	42	8
168	42	7
169	42	7
170	42	7
171	43	7
172	43	6
173	43	6
174	43	6
175	44	6
176	44	5
177	44	5
178	45	5
179	45	5
180	45	4
181	45	4
182	46	4
183	46	4
184	46	3
185	46	3
186	47	3
187	47	3
188	47	2
189	47	2
190	48	2
191	48	2
192	48	1
193	48	1
194	48	1
195	49	1
196	49	0
197	49	0
198	50	0
199	50	0
